store,lucro,unidades,pct_unidades,total_staff,avg_discount
baltimore,-135.0,1598,16.0,14,2.47
lancaster,489.0,3066,30.8,29,2.34
philadelphia,435.0,3033,30.4,28,0.01
richmond,200.0,2268,22.8,19,7.22
TOTAL,989.0,9965,100.0,90,3.01
