day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0,0,0,0,116,116,0,True
1,Seg,0.0327,1,7,8,72,72,798,False
2,Ter,0.0162,2,0,2,77,77,252,False
3,Qua,0.0211,5,8,13,84,84,1350,False
4,Qui,0.0168,3,0,3,77,77,378,False
5,Sex,0.0388,0,1,1,106,106,96,False
6,Sab,0.0383,0,2,2,149,149,192,True
