day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0,0,0,0,230,230,0,True
1,Seg,0.0,2,1,3,144,144,334,False
2,Ter,0.0,4,0,4,154,154,476,False
3,Qua,0.0,4,0,4,168,168,476,False
4,Qui,0.0,1,8,9,154,154,887,False
5,Sex,0.0005,0,3,3,211,211,288,False
6,Sab,0.0,4,1,5,298,298,572,True
