day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0,0,0,0,64,64,0,True
1,Seg,0.1276,0,0,0,40,40,0,False
2,Ter,0.0,0,7,7,42,42,714,False
3,Qua,0.226,0,0,0,46,46,0,False
4,Qui,0.0,6,0,6,42,42,756,False
5,Sex,0.0553,6,0,6,58,58,798,False
6,Sab,0.0966,0,0,0,82,82,0,True
