lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
-1116.0,36,0.1131,0,0,0.0078,0,0,0.006,2,0,0.0075,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.0746,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0155,3,0,0.0456,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0118,0,1,0.027,1,0,0.1469,0,0,0.1152,0,0,0.0387,4,0,0.0352,4,0,0.0382,3,1,0.0005,4,1,0.002,3,1,0.0742,0,0
-1172.0,35,0.1131,0,0,0.0078,0,0,0.006,2,0,0.0075,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.0738,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0155,3,0,0.0452,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0583,0,1,0.027,1,0,0.1469,0,0,0.1152,0,0,0.0387,4,0,0.0352,3,0,0.0382,3,1,0.0005,4,1,0.002,3,1,0.0742,0,0
-1221.0,34,0.1131,0,0,0.0078,0,0,0.0055,2,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.0737,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0155,0,0,0.0452,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0117,0,1,0.0272,1,0,0.1446,0,0,0.1152,0,0,0.0386,4,0,0.0356,4,0,0.0408,3,1,0.0005,4,1,0.002,4,1,0.0742,0,0
-1274.0,33,0.1131,0,0,0.0078,0,0,0.006,2,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.0732,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0242,1,0,0.0155,0,0,0.0457,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0117,0,1,0.027,1,0,0.1469,0,0,0.1131,0,0,0.0386,4,0,0.0352,4,0,0.0408,3,1,0.0005,4,1,0.002,3,1,0.0742,0,0
-1329.0,32,0.1131,0,0,0.0241,0,0,0.006,2,0,0.0073,0,0,0.0122,0,0,0.1437,0,0,0.0094,0,0,0.0732,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0244,1,0,0.0155,0,0,0.0453,0,0,0.0578,0,0,0.076,1,1,0.0054,1,0,0.1438,1,0,0.0117,0,1,0.027,1,0,0.1469,0,0,0.0086,0,0,0.0387,4,0,0.0352,4,0,0.0408,3,1,0.0003,2,1,0.002,4,1,0.0742,0,0
-1384.0,31,0.1131,0,0,0.0078,0,0,0.006,2,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0108,0,0,0.0732,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0155,0,0,0.0452,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0117,0,1,0.027,1,0,0.1469,0,0,0.1152,0,0,0.0386,4,0,0.0352,4,0,0.0408,3,1,0.0005,2,1,0.002,3,1,0.0742,0,0
-1441.0,30,0.1296,0,0,0.0078,0,0,0.006,2,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0108,0,0,0.0732,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0155,0,0,0.0435,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0099,0,1,0.027,1,0,0.1469,0,0,0.1152,0,0,0.0386,4,0,0.0352,3,0,0.0408,3,1,0.0005,2,1,0.002,3,1,0.0742,0,0
-1499.0,29,0.1131,0,0,0.0241,0,0,0.006,2,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.0148,0,0,0.031,0,0,0.0206,1,0,0.015,2,0,0.0244,1,0,0.0155,0,0,0.0452,0,0,0.0578,0,0,0.076,1,1,0.0054,1,0,0.1438,1,0,0.0074,0,1,0.027,1,0,0.1469,0,0,0.0086,0,0,0.0387,4,0,0.0355,3,0,0.0384,1,1,0.0003,2,1,0.002,4,1,0.0741,0,0
-1563.0,28,0.084,0,0,0.0077,0,0,0.006,3,0,0.0073,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.073,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0167,0,0,0.0424,0,0,0.0578,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0117,0,1,0.027,1,0,0.1464,0,0,0.1152,0,0,0.0384,2,0,0.0352,4,0,0.0381,1,1,0.0001,2,1,0.002,3,1,0.0742,0,0
-1620.0,27,0.084,0,0,0.0077,0,0,0.006,3,0,0.007,0,0,0.0122,0,0,0.0023,0,0,0.0094,0,0,0.073,0,0,0.031,0,0,0.0242,1,0,0.015,2,0,0.0311,1,0,0.0167,0,0,0.0454,0,0,0.0576,0,0,0.0764,1,1,0.0054,1,0,0.1438,1,0,0.0559,0,1,0.022,1,0,0.1542,0,0,0.1152,0,0,0.0429,2,0,0.0352,3,0,0.0408,1,1,0.0005,2,1,0.0019,3,1,0.0742,0,0
