algorithm,n_pareto_solutions,o3_max_profit,o3_max_profit_staff,o3_min_staff,o3_min_staff_profit,o2_profit,o2_staff
MOEA/D,35,589.0,86,51,-1002.0,589.0,86
U-NSGA-III,56,955.0,85,27,-1620.0,955.0,85
