Store,Experiment,Model,MAE,RMSE,MAPE,NMAE
Baltimore,C_Context_Expert,Ensemble (Top-3 Experts),14.984279302394167,18.875574161512304,17.346928744341074,14.955019481669163
Baltimore,C_Context_Expert,Random Forest,13.661214492753624,20.1010765453286,15.841190676480768,13.634538222318652
Baltimore,C_Context_Expert,SARIMAX,20.964849322069018,26.45498950695578,25.678556246334207,20.923911234870356
Baltimore,C_Context_Expert,Linear Regression,20.767962336442864,27.1509250125418,24.11437667790805,20.727408710704527
Baltimore,C_Context_Expert,Prophet,23.979108774755687,29.277170994656238,30.921156085897493,23.932284739396
Baltimore,B_Sales_Dynamics,Ensemble (Top-3 Experts),26.639728191610406,51.944617637927806,26.37250929957238,26.58770876142501
Baltimore,B_Sales_Dynamics,Random Forest,34.218724637681156,55.45543733220473,38.830383394036076,34.151905691762494
Baltimore,B_Sales_Dynamics,Prophet,34.25893242196797,55.53050003143885,36.340275585218315,34.1920349622592
Baltimore,B_Sales_Dynamics,Linear Regression,28.46567630451275,61.01953795859515,26.54320831333243,28.41009134318912
Baltimore,A_Temporal_Base,Ensemble (Top-3 Experts),35.92854149281586,62.972792928615874,34.274582602392975,35.85838378540963
Baltimore,B_Sales_Dynamics,SARIMAX,35.92844245368749,65.26695758134706,30.63523392665129,35.85828493967508
Baltimore,A_Temporal_Base,Prophet,44.99285108133929,67.07333866935764,45.26973530672581,44.90499348538961
Baltimore,A_Temporal_Base,Linear Regression,40.91505675529075,69.59533320427325,38.94617999825446,40.8351618733646
Baltimore,A_Temporal_Base,Random Forest,37.32531497584541,69.83636211258568,40.49521878166094,37.252429787131454
Baltimore,A_Temporal_Base,SARIMAX,46.44680873509274,71.88725441068232,44.4010487015798,46.35611199423445
Baltimore,A_Temporal_Base,Holt-Winters,45.86128219291723,82.22513619824768,44.56060345929689,45.77172881046197
Baltimore,B_Sales_Dynamics,Holt-Winters,45.86128219291723,82.22513619824768,44.56060345929689,45.77172881046197
Baltimore,C_Context_Expert,Holt-Winters,45.86128219291723,82.22513619824768,44.56060345929689,45.77172881046197
Baltimore,A_Temporal_Base,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Baltimore,B_Sales_Dynamics,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Baltimore,C_Context_Expert,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Lancaster,C_Context_Expert,Random Forest,22.166697101449277,30.561348828933713,21.264189628668788,17.8328286826577
Lancaster,C_Context_Expert,Ensemble (Top-3 Experts),22.32352487615845,31.009537906827564,19.93930703359331,17.958994652548103
Lancaster,C_Context_Expert,SARIMAX,29.343866223613816,38.401126332583495,27.319603855570435,23.60677086250789
Lancaster,C_Context_Expert,Linear Regression,35.26028355673976,46.00072847262842,33.25690431172626,28.366454104168792
Lancaster,C_Context_Expert,Prophet,56.63141442883972,66.66691731755347,60.38129774489326,45.559259773530265
Lancaster,B_Sales_Dynamics,Ensemble (Top-3 Experts),40.145166456025734,70.43410426756317,30.54044045879242,32.29628088346446
Lancaster,B_Sales_Dynamics,Prophet,52.72430895527986,75.96564204841542,46.82292540493337,42.41604262051058
Lancaster,B_Sales_Dynamics,Linear Regression,37.80496830080565,76.89953116799695,29.13763879753703,30.413620936675056
Lancaster,A_Temporal_Base,Ensemble (Top-3 Experts),52.15322976226911,80.32387226993202,41.815775143602686,41.95661660108231
Lancaster,B_Sales_Dynamics,SARIMAX,52.372729844198325,83.42444132898025,38.66087813558106,42.13320165292645
Lancaster,A_Temporal_Base,Prophet,67.10953760648682,92.40592067565733,58.234447769155864,53.988777923554935
Lancaster,A_Temporal_Base,Linear Regression,66.5584703213627,92.78153237317298,55.41630847783971,53.545451232020305
Lancaster,A_Temporal_Base,Random Forest,75.82437028985507,103.00135877459354,72.90371523963508,60.99975107527319
Lancaster,A_Temporal_Base,SARIMAX,83.70577840885218,104.98808648238156,71.19637744003684,67.34024465990352
Lancaster,A_Temporal_Base,Holt-Winters,73.54904205452677,111.68421903353547,63.55750676716364,59.16927816215838
Lancaster,B_Sales_Dynamics,Holt-Winters,73.54904205452677,111.68421903353547,63.55750676716364,59.16927816215838
Lancaster,C_Context_Expert,Holt-Winters,73.54904205452677,111.68421903353547,63.55750676716364,59.16927816215838
Lancaster,A_Temporal_Base,Seasonal Naive,52.71333333333334,132.29718584538634,36.82622214337059,42.40721287086578
Lancaster,B_Sales_Dynamics,Seasonal Naive,52.71333333333334,132.29718584538634,36.82622214337059,42.40721287086578
Lancaster,C_Context_Expert,Seasonal Naive,52.71333333333334,132.29718584538634,36.82622214337059,42.40721287086578
Lancaster,B_Sales_Dynamics,Random Forest,159.59677463768114,171.26892088661498,171.55380176765854,128.3935954640901
Philadelphia,C_Context_Expert,Ensemble (Top-3 Experts),29.962205224381243,45.41810399726,14.56339281569798,13.263273254568405
Philadelphia,C_Context_Expert,Prophet,37.55661531619175,50.13085746120344,18.868483081531032,16.625066403657783
Philadelphia,C_Context_Expert,Random Forest,29.218561594202896,50.926305489453505,12.86510678587931,12.934086914737563
Philadelphia,C_Context_Expert,SARIMAX,40.63998492369152,57.23729909562053,20.05422068670081,17.98997173498575
Philadelphia,C_Context_Expert,Linear Regression,44.77332126400174,64.70522584192392,21.354492484209565,19.819662471165678
Philadelphia,B_Sales_Dynamics,Random Forest,48.99967101449275,110.65824694025295,21.632782981051534,21.69052715520186
Philadelphia,B_Sales_Dynamics,Ensemble (Top-3 Experts),52.821460639604084,114.09386731096288,23.27616138753747,23.382306506545415
Philadelphia,B_Sales_Dynamics,Prophet,74.72945488182273,120.44045376764309,36.39242939691661,33.08024802713848
Philadelphia,B_Sales_Dynamics,Linear Regression,61.28329952559071,134.09203275394256,24.06313528132099,27.12808157685455
Philadelphia,A_Temporal_Base,Random Forest,60.94575652173913,136.41626562423252,23.559534284793834,26.97866249832797
Philadelphia,A_Temporal_Base,Ensemble (Top-3 Experts),67.3088439520721,137.32483795682853,26.001853717361676,29.795389995492975
Philadelphia,A_Temporal_Base,Prophet,92.41394423663004,144.85842331871007,41.06912470424919,40.90858419010725
Philadelphia,A_Temporal_Base,Linear Regression,66.10032473629163,152.0280565124535,23.074243753011284,29.26041867171171
Philadelphia,A_Temporal_Base,SARIMAX,68.77057378702214,152.20919111150212,24.568024640265353,30.44244925164951
Philadelphia,B_Sales_Dynamics,SARIMAX,67.12466360783573,156.38293231887548,22.801268693980877,29.713859473442493
Philadelphia,A_Temporal_Base,Holt-Winters,94.44316018235195,182.41461624930574,38.10214128020718,41.80685070217079
Philadelphia,B_Sales_Dynamics,Holt-Winters,94.44316018235195,182.41461624930574,38.10214128020718,41.80685070217079
Philadelphia,C_Context_Expert,Holt-Winters,94.44316018235195,182.41461624930574,38.10214128020718,41.80685070217079
