Store,Experiment,Model,MAE,RMSE,MAPE,NMAE
Baltimore,C_Context_Expert,SARIMAX,3009.8534439394434,3891.954386560465,10.566714768513226,10.4955886757076
Baltimore,C_Context_Expert,Ensemble (Top-3 Experts),3120.9832199657912,3950.4136295123317,10.66894284729543,10.883106686308624
Baltimore,C_Context_Expert,Linear Regression,3379.1744570185756,4548.0545264300645,12.591930287497572,11.783439235468004
Baltimore,B_Sales_Dynamics,Ensemble (Top-3 Experts),3906.6893275084876,5801.397027828112,13.10739468705949,13.622923849620758
Baltimore,B_Sales_Dynamics,SARIMAX,4298.524409386743,6024.155526201462,14.560362924664435,14.989282685592414
Baltimore,B_Sales_Dynamics,Prophet,4219.005603067024,6113.939808285167,13.906968714073455,14.711994538956718
Baltimore,B_Sales_Dynamics,Linear Regression,4102.316764392464,6239.017496927711,14.13499200439314,14.305091652625082
Baltimore,A_Temporal_Base,Ensemble (Top-3 Experts),4471.297197600984,6443.805449993011,15.146072170128749,15.591754584383077
Baltimore,A_Temporal_Base,Prophet,4636.875798746825,6557.972931400768,15.315638780614242,16.1691398037947
Baltimore,C_Context_Expert,Prophet,5774.436668898541,6733.960181395556,19.721999908715794,20.135901378426585
Baltimore,C_Context_Expert,Random Forest,6027.969028985507,6883.737937197868,22.90096359902106,21.019988068033427
Baltimore,A_Temporal_Base,Holt-Winters,4593.809743951222,6944.985743704754,14.835414208072256,16.018965183854224
Baltimore,B_Sales_Dynamics,Holt-Winters,4593.809743951222,6944.985743704754,14.835414208072256,16.018965183854224
Baltimore,C_Context_Expert,Holt-Winters,4593.809743951222,6944.985743704754,14.835414208072256,16.018965183854224
Baltimore,A_Temporal_Base,Linear Regression,5866.293834676076,7501.780669837985,21.377846962095937,20.456214326174443
Baltimore,B_Sales_Dynamics,Random Forest,7385.3474630434785,8588.593069849636,27.84807545510337,25.7532702648244
Baltimore,A_Temporal_Base,Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,21.890044791798577
Baltimore,B_Sales_Dynamics,Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,21.890044791798577
Baltimore,C_Context_Expert,Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,21.890044791798577
Baltimore,A_Temporal_Base,SARIMAX,8607.113028284693,9689.45602287932,32.05812355855548,30.01366003786651
Baltimore,A_Temporal_Base,Random Forest,8739.635097101449,9808.239204908741,32.853269459981334,30.47577460612071
Lancaster,C_Context_Expert,SARIMAX,4337.932684318322,5506.19012838693,11.627225075943448,12.019395135820574
Lancaster,C_Context_Expert,Ensemble (Top-3 Experts),4727.072360302106,5801.483983946988,14.070114635572804,13.0976100066005
Lancaster,C_Context_Expert,Linear Regression,4940.073681207922,6174.360040531127,14.506503804907126,13.68778676284056
Lancaster,B_Sales_Dynamics,Ensemble (Top-3 Experts),5554.848329246378,7775.479988183359,14.657039278648206,15.391183277261202
Lancaster,B_Sales_Dynamics,Linear Regression,5701.068671948639,8092.939905168289,15.708393614082869,15.796325588986532
Lancaster,B_Sales_Dynamics,SARIMAX,6535.688680903013,8492.484133587215,18.077824972914723,18.10886209102797
Lancaster,A_Temporal_Base,Ensemble (Top-3 Experts),6129.847534921401,8803.484480648354,15.755282834721832,16.984371359864454
Lancaster,C_Context_Expert,Random Forest,8485.524185507245,9620.042591948806,25.54514109564183,23.511399448145387
Lancaster,C_Context_Expert,Prophet,8350.32041503625,9657.565606142143,22.86299495865967,23.136781477004824
Lancaster,A_Temporal_Base,Prophet,6997.041464565933,9774.901644817437,17.882271339884976,19.38716256440813
Lancaster,B_Sales_Dynamics,Prophet,7386.751381278539,9890.702405881702,18.980736269640673,20.466957438646162
Lancaster,A_Temporal_Base,Linear Regression,7924.776744217069,10108.105514941108,22.55568077731832,21.95769966561266
Lancaster,A_Temporal_Base,Holt-Winters,8463.550997614362,11435.497506783582,21.913654343154327,23.450516892583163
Lancaster,B_Sales_Dynamics,Holt-Winters,8463.550997614362,11435.497506783582,21.913654343154327,23.450516892583163
Lancaster,C_Context_Expert,Holt-Winters,8463.550997614362,11435.497506783582,21.913654343154327,23.450516892583163
