Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,B_Sales_Dynamics
Linear Regression,4102.316764392898,6239.017496927945,14.134992004395297,B_Sales_Dynamics
Random Forest,7385.3474630434785,8588.593069849636,27.84807545510337,B_Sales_Dynamics
Holt-Winters,4592.7554488080605,6943.824655258075,14.832558374513544,B_Sales_Dynamics
Prophet,4219.519790371848,6116.5675869698125,13.90627853352377,B_Sales_Dynamics
SARIMAX,3719.056139264885,4552.290631118504,13.419775501595579,B_Sales_Dynamics
