Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,7907.073913043478,12539.602626514867,20.97966307211546,B_Sales_Dynamics
Linear Regression,5701.068671949773,8092.939905169239,15.708393614086699,B_Sales_Dynamics
Random Forest,17913.33731884058,19238.662230368373,53.88284780380147,B_Sales_Dynamics
Holt-Winters,8468.599661372942,11440.86812422226,21.927590158648552,B_Sales_Dynamics
Prophet,7390.26757609035,9895.44215674345,18.990239737191935,B_Sales_Dynamics
SARIMAX,53623.090265068655,60825.26824346221,152.88642277577264,B_Sales_Dynamics
