iteration,score,profit,units
0,53795.0,-53795.0,4059
1,50540.0,-50540.0,4311
2,49455.0,-49455.0,4401
3,47390.0,-47390.0,4605
4,45640.0,-45640.0,4731
5,43960.0,-43960.0,4871
6,41895.0,-41895.0,5039
7,40530.0,-40530.0,5135
8,38570.0,-38570.0,5373
9,37240.0,-37240.0,5469
10,36050.0,-36050.0,5571
11,35000.0,-35000.0,5655
12,31710.0,-31710.0,5893
13,28770.0,-28770.0,6159
14,28560.0,-28560.0,6153
15,26775.0,-26775.0,6279
16,26775.0,-26775.0,6279
17,26775.0,-26775.0,6279
18,25130.0,-25130.0,6419
19,23940.0,-23940.0,6521
20,20475.0,-20475.0,6773
21,19985.0,-19985.0,6767
22,18480.0,-18480.0,6886
23,14910.0,-14910.0,7138
24,14350.0,-14350.0,7156
25,13020.0,-13020.0,7252
26,12985.0,-12985.0,7252
27,10955.0,-10955.0,7456
28,9730.0,-9730.0,7558
29,6755.0,-6755.0,7774
30,3675.0,-3675.0,8012
31,3675.0,-3675.0,8012
32,1715.0,-1715.0,8204
33,805.0,-805.0,8294
34,-1610.0,1610.0,8474
35,-2485.0,2485.0,8564
36,-4095.0,4095.0,8683
37,-4095.0,4095.0,8683
38,-4095.0,4095.0,8683
39,-4095.0,4095.0,8683
40,-4900.0,4900.0,8773
41,-8435.0,8435.0,9025
42,-8435.0,8435.0,9025
43,-8435.0,8435.0,9025
44,-8435.0,8435.0,9025
45,-8435.0,8435.0,9025
46,-8435.0,8435.0,9025
47,-8435.0,8435.0,9025
48,-8435.0,8435.0,9025
49,-9975.0,9975.0,9144
50,-9975.0,9975.0,9144
51,-9975.0,9975.0,9144
52,-9975.0,9975.0,9144
53,-9975.0,9975.0,9144
54,-9975.0,9975.0,9144
55,-10080.0,10080.0,9144
56,-10080.0,10080.0,9144
57,-10080.0,10080.0,9144
58,-10430.0,10430.0,9138
59,-10430.0,10430.0,9138
60,-10430.0,10430.0,9138
61,-12250.0,12250.0,9278
62,-12250.0,12250.0,9278
63,-12635.0,12635.0,9278
64,-12635.0,12635.0,9278
65,-14140.0,14140.0,9374
66,-15260.0,15260.0,9470
67,-15260.0,15260.0,9470
68,-15260.0,15260.0,9470
69,-15260.0,15260.0,9470
70,-15260.0,15260.0,9470
71,-15260.0,15260.0,9470
72,-15260.0,15260.0,9470
73,-15260.0,15260.0,9470
74,-15645.0,15645.0,9470
75,-15645.0,15645.0,9470
76,-15645.0,15645.0,9470
77,-15645.0,15645.0,9470
78,-15645.0,15645.0,9470
79,-18305.0,18305.0,9662
80,-21280.0,21280.0,9928
81,-21280.0,21280.0,9928
82,-21280.0,21280.0,9928
83,-21280.0,21280.0,9928
84,-21280.0,21280.0,9928
85,-21280.0,21280.0,9928
86,-21280.0,21280.0,9928
87,-21280.0,21280.0,9928
88,-21280.0,21280.0,9928
89,-21280.0,21280.0,9928
90,-21280.0,21280.0,9928
91,-21280.0,21280.0,9928
92,-21280.0,21280.0,9928
93,-21280.0,21280.0,9928
94,-21280.0,21280.0,9928
95,-21280.0,21280.0,9928
96,-21280.0,21280.0,9928
97,-21280.0,21280.0,9928
98,-21280.0,21280.0,9928
99,-21350.0,21350.0,9907
100,-21840.0,21840.0,9900
101,-21840.0,21840.0,9900
102,-21840.0,21840.0,9900
103,-21840.0,21840.0,9900
104,-21840.0,21840.0,9900
105,-21840.0,21840.0,9900
106,-21840.0,21840.0,9900
107,-21945.0,21945.0,9900
108,-21945.0,21945.0,9900
109,-21945.0,21945.0,9900
110,-21945.0,21945.0,9900
111,-21945.0,21945.0,9900
112,-21945.0,21945.0,9900
113,-21945.0,21945.0,9900
114,-21945.0,21945.0,9900
115,-21945.0,21945.0,9900
116,-21945.0,21945.0,9900
117,-21945.0,21945.0,9900
118,-21945.0,21945.0,9900
119,-21945.0,21945.0,9900
120,-21945.0,21945.0,9900
121,-21945.0,21945.0,9900
122,-21945.0,21945.0,9900
123,-21945.0,21945.0,9900
124,-21945.0,21945.0,9900
125,-23415.0,23415.0,9996
126,-23415.0,23415.0,9996
127,-24010.0,24010.0,9996
128,-24010.0,24010.0,9996
129,-24010.0,24010.0,9996
130,-24010.0,24010.0,9996
131,-24010.0,24010.0,9996
132,-24010.0,24010.0,9996
133,-24010.0,24010.0,9996
134,-24010.0,24010.0,9996
135,-24010.0,24010.0,9996
136,-24010.0,24010.0,9996
137,-24010.0,24010.0,9996
138,-24010.0,24010.0,9996
139,-24010.0,24010.0,9996
140,-24010.0,24010.0,9996
141,-24010.0,24010.0,9996
142,-24010.0,24010.0,9996
143,-24010.0,24010.0,9996
144,-24010.0,24010.0,9996
145,-24010.0,24010.0,9996
146,-24010.0,24010.0,9996
147,-24010.0,24010.0,9996
148,-24010.0,24010.0,9996
149,-24010.0,24010.0,9996
150,-24010.0,24010.0,9996
151,-24360.0,24360.0,9996
152,-24360.0,24360.0,9996
153,-24360.0,24360.0,9996
154,-24360.0,24360.0,9996
155,-24360.0,24360.0,9996
156,-24360.0,24360.0,9996
157,-24360.0,24360.0,9996
158,-24360.0,24360.0,9996
159,-24360.0,24360.0,9996
160,-24360.0,24360.0,9996
161,-24360.0,24360.0,9996
162,-24360.0,24360.0,9996
163,-24955.0,24955.0,9996
164,-24955.0,24955.0,9996
165,-24955.0,24955.0,9996
166,-24955.0,24955.0,9996
167,-24955.0,24955.0,9996
168,-24955.0,24955.0,9996
169,-24955.0,24955.0,9996
170,-24955.0,24955.0,9996
171,-24955.0,24955.0,9996
172,-24955.0,24955.0,9996
173,-24955.0,24955.0,9996
174,-24955.0,24955.0,9996
175,-24955.0,24955.0,9996
176,-24955.0,24955.0,9996
177,-24955.0,24955.0,9996
178,-24955.0,24955.0,9996
179,-24955.0,24955.0,9996
180,-24955.0,24955.0,9996
181,-24955.0,24955.0,9996
182,-24955.0,24955.0,9996
183,-24955.0,24955.0,9996
184,-24955.0,24955.0,9996
185,-24955.0,24955.0,9996
186,-24955.0,24955.0,9996
187,-24955.0,24955.0,9996
188,-24955.0,24955.0,9996
189,-24955.0,24955.0,9996
190,-24955.0,24955.0,9996
191,-24955.0,24955.0,9996
192,-24955.0,24955.0,9996
193,-24955.0,24955.0,9996
194,-25480.0,25480.0,9956
195,-25480.0,25480.0,9956
196,-25480.0,25480.0,9956
197,-25480.0,25480.0,9956
198,-25480.0,25480.0,9956
199,-25480.0,25480.0,9956
200,-25480.0,25480.0,9956
201,-25480.0,25480.0,9956
202,-25480.0,25480.0,9956
203,-25480.0,25480.0,9956
204,-25480.0,25480.0,9956
205,-25480.0,25480.0,9956
206,-25935.0,25935.0,9928
207,-25935.0,25935.0,9928
208,-25935.0,25935.0,9928
209,-25935.0,25935.0,9928
210,-25935.0,25935.0,9928
211,-25935.0,25935.0,9928
212,-25935.0,25935.0,9928
213,-26355.0,26355.0,9900
214,-26355.0,26355.0,9900
215,-26670.0,26670.0,9900
216,-26670.0,26670.0,9900
217,-26670.0,26670.0,9900
218,-26670.0,26670.0,9900
219,-26670.0,26670.0,9900
220,-26670.0,26670.0,9900
221,-26670.0,26670.0,9900
222,-26670.0,26670.0,9900
223,-26670.0,26670.0,9900
224,-26670.0,26670.0,9900
225,-26670.0,26670.0,9900
226,-26670.0,26670.0,9900
227,-26670.0,26670.0,9900
228,-27755.0,27755.0,9996
229,-27755.0,27755.0,9996
230,-27755.0,27755.0,9996
231,-27755.0,27755.0,9996
232,-27755.0,27755.0,9996
233,-27755.0,27755.0,9996
234,-27755.0,27755.0,9996
235,-27755.0,27755.0,9996
236,-27755.0,27755.0,9996
237,-27755.0,27755.0,9996
238,-27755.0,27755.0,9996
239,-27755.0,27755.0,9996
240,-27755.0,27755.0,9996
241,-27755.0,27755.0,9996
242,-27755.0,27755.0,9996
243,-27755.0,27755.0,9996
244,-27755.0,27755.0,9996
245,-27755.0,27755.0,9996
246,-27755.0,27755.0,9996
247,-27755.0,27755.0,9996
248,-27755.0,27755.0,9996
249,-27755.0,27755.0,9996
250,-27755.0,27755.0,9996
251,-27755.0,27755.0,9996
252,-27755.0,27755.0,9996
253,-27755.0,27755.0,9996
254,-27755.0,27755.0,9996
255,-27755.0,27755.0,9996
256,-27755.0,27755.0,9996
257,-27755.0,27755.0,9996
258,-27755.0,27755.0,9996
259,-27755.0,27755.0,9996
260,-27755.0,27755.0,9996
261,-27755.0,27755.0,9996
262,-27755.0,27755.0,9996
263,-27790.0,27790.0,9989
264,-27790.0,27790.0,9989
265,-27790.0,27790.0,9989
266,-27790.0,27790.0,9989
267,-27790.0,27790.0,9989
268,-27790.0,27790.0,9989
269,-27790.0,27790.0,9989
270,-27790.0,27790.0,9989
271,-27790.0,27790.0,9989
272,-27790.0,27790.0,9989
273,-27790.0,27790.0,9989
274,-27790.0,27790.0,9989
275,-27790.0,27790.0,9989
276,-27790.0,27790.0,9989
277,-27790.0,27790.0,9989
278,-27790.0,27790.0,9989
279,-27790.0,27790.0,9989
280,-27790.0,27790.0,9989
281,-27790.0,27790.0,9989
282,-27790.0,27790.0,9989
283,-27790.0,27790.0,9989
284,-27790.0,27790.0,9989
285,-27790.0,27790.0,9989
286,-27895.0,27895.0,9989
287,-27895.0,27895.0,9989
288,-27895.0,27895.0,9989
289,-27895.0,27895.0,9989
290,-27895.0,27895.0,9989
291,-27895.0,27895.0,9989
292,-27895.0,27895.0,9989
293,-27895.0,27895.0,9989
294,-27895.0,27895.0,9989
295,-27895.0,27895.0,9989
296,-27895.0,27895.0,9989
297,-27895.0,27895.0,9989
298,-27895.0,27895.0,9989
299,-27895.0,27895.0,9989
300,-28070.0,28070.0,9975
301,-28070.0,28070.0,9975
302,-28070.0,28070.0,9975
303,-28070.0,28070.0,9975
304,-28070.0,28070.0,9975
305,-28070.0,28070.0,9975
306,-28070.0,28070.0,9975
307,-28070.0,28070.0,9975
308,-28070.0,28070.0,9975
309,-28070.0,28070.0,9975
