store,lucro,unidades,pct_unidades,total_staff,avg_discount
baltimore,8505.0,2621,26.2,25,1.93
lancaster,16100.0,3018,30.2,27,2.79
philadelphia,3150.0,2173,21.8,20,0.03
richmond,5040.0,2178,21.8,19,1.0
TOTAL,32795.0,9990,100.0,91,1.44
