Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,7907.073913043478,12539.602626514867,20.97966307211546,C_Context_Expert
Linear Regression,5112.112675499486,6318.458425632429,15.15207570100125,C_Context_Expert
Random Forest,7700.036441304346,8815.12632880383,23.061565981672278,C_Context_Expert
Holt-Winters,8463.550997614362,11435.497506783582,21.913654343154327,C_Context_Expert
Prophet,8583.24992167406,9946.216495557588,23.370122662547825,C_Context_Expert
ARIMAX,8796.33053537697,10287.121665549084,23.909864061240974,C_Context_Expert
