Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,14572.263188405797,22179.585248565265,21.42256845824479,22.146081187523446,B_Sales_Dynamics
Linear Regression,9986.204988316396,14634.094743768552,14.466761200809772,15.17645567933919,B_Sales_Dynamics
Random Forest,9658.183591304347,13977.361625640022,14.479191105960673,14.677947767729856,B_Sales_Dynamics
Holt-Winters,9627.774179200602,14840.677518566035,13.843855493020667,14.631733305322248,B_Sales_Dynamics
Prophet,11959.252692477487,14654.930416173682,18.99873222286259,18.17497924965006,B_Sales_Dynamics
SARIMAX,11048.074794463739,14659.01912251116,16.903177728807897,16.790223879479107,B_Sales_Dynamics
Ensemble (Top-3 Experts),9693.311389263545,13355.718484075842,14.750856272023594,14.731332959548398,B_Sales_Dynamics
