Store,Experiment,Model,MAE,RMSE,MAPE,NMAE
Baltimore,D_Full_Context,Random Forest,12.517315942028983,16.39061157182827,15.114100379891093,12.492873363708682
Baltimore,D_Full_Context,Ensemble (Top-3 Experts),14.386241005239299,19.599569209263752,16.307116487194744,14.358148974636748
Baltimore,C_Context_Expert,Ensemble (Top-3 Experts),15.433970929559145,19.72532435334733,17.799526081601616,15.403832995437636
Baltimore,C_Context_Expert,Random Forest,13.661214492753624,20.1010765453286,15.841190676480768,13.634538222318652
Baltimore,D_Full_Context,Linear Regression,19.526417636048528,26.054444751797917,21.970790010593618,19.488288376182084
Baltimore,C_Context_Expert,Linear Regression,20.767962336462382,27.150925012567477,24.11437667792479,20.727408710724006
Baltimore,C_Context_Expert,SARIMAX,22.03542839627844,28.42203725757567,25.05028503635317,21.992399787997574
Baltimore,C_Context_Expert,Prophet,23.979127434903255,29.277190942698457,30.92118418643243,23.932303363105873
Baltimore,D_Full_Context,Prophet,25.48048014023435,31.476276167365217,32.64933201491357,25.43072437515253
Baltimore,D_Full_Context,SARIMAX,29.176497644792576,36.21197654795479,37.48765897385752,29.1195246617587
Baltimore,B_Sales_Dynamics,Ensemble (Top-3 Experts),28.757910247456316,52.30080023649748,27.7344095158538,28.70175464055089
Baltimore,B_Sales_Dynamics,Prophet,33.96216863069899,55.32341669740454,35.96491472331571,33.89585066201244
Baltimore,B_Sales_Dynamics,Random Forest,34.218724637681156,55.45543733220473,38.830383394036076,34.151905691762494
Baltimore,B_Sales_Dynamics,SARIMAX,33.53800279077855,57.735267892687816,31.48490649010653,33.47251309125219
Baltimore,B_Sales_Dynamics,Linear Regression,28.46567630451211,61.019537958594974,26.543208313331355,28.410091343188483
Baltimore,A_Temporal_Base,Ensemble (Top-3 Experts),35.92854705636068,62.97279425226272,34.27459054611872,35.858389338090504
Baltimore,A_Temporal_Base,Prophet,44.992853839362205,67.07333733584878,45.26973898574775,44.90499623802693
Baltimore,A_Temporal_Base,Linear Regression,40.91505675529233,69.59533320427387,38.9461799982568,40.83516187336618
Baltimore,A_Temporal_Base,Random Forest,37.32531497584541,69.83636211258568,40.49521878166094,37.252429787131454
Baltimore,A_Temporal_Base,SARIMAX,46.44085476475297,71.88460788009122,44.392397327579545,46.35016965021993
Baltimore,A_Temporal_Base,Holt-Winters,48.848365871249094,84.65543147449573,48.6643904257731,48.752979606801006
Baltimore,B_Sales_Dynamics,Holt-Winters,48.848365871249094,84.65543147449573,48.6643904257731,48.752979606801006
Baltimore,C_Context_Expert,Holt-Winters,48.848365871249094,84.65543147449573,48.6643904257731,48.752979606801006
Baltimore,D_Full_Context,Holt-Winters,48.848365871249094,84.65543147449573,48.6643904257731,48.752979606801006
Baltimore,A_Temporal_Base,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Baltimore,B_Sales_Dynamics,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Baltimore,C_Context_Expert,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Baltimore,D_Full_Context,Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714
Lancaster,D_Full_Context,Random Forest,23.999202898550728,29.669041262236462,24.84273382980574,19.307056520487027
Lancaster,D_Full_Context,Ensemble (Top-3 Experts),23.592961764195216,30.3220937542881,23.10020968360222,18.98024064351379
Lancaster,C_Context_Expert,Random Forest,22.166697101449277,30.561348828933713,21.264189628668788,17.8328286826577
Lancaster,C_Context_Expert,Ensemble (Top-3 Experts),22.33373438182122,31.011537450069,19.95559440200896,17.96720807128999
Lancaster,C_Context_Expert,SARIMAX,29.385802715940525,38.41543207635914,27.392508155893353,23.640508242496942
Lancaster,C_Context_Expert,Linear Regression,35.26028355600372,46.00072847206571,33.25690431075479,28.36645410357666
Lancaster,D_Full_Context,Linear Regression,42.30881290419805,50.23873738721218,41.913993816812365,34.036907205171865
Lancaster,D_Full_Context,SARIMAX,42.4688821783847,53.263930217117455,46.31770700037074,34.165680920573124
Lancaster,C_Context_Expert,Prophet,56.63141441352459,66.66691730194736,60.38129772538214,45.55925976120944
Lancaster,D_Full_Context,Prophet,57.16390642700407,68.05691511511237,60.90706962493252,45.98764288061617
Lancaster,B_Sales_Dynamics,Ensemble (Top-3 Experts),40.98145899372154,71.32204184839323,30.641905931925713,32.969067698976964
Lancaster,B_Sales_Dynamics,Prophet,52.733549326147156,75.9696518431573,46.8329074262367,42.4234763825134
