ds,trend,weekly,yearly
2014-01-28,78.17417572829086,-16.555676519829913,48.72517749849824
2014-01-29,78.15269400622032,-13.77231827275235,49.86930638295032
2014-01-30,78.13121228414977,-14.628861377934287,51.10154037497706
2014-01-31,78.10973056207922,-1.1718837488545037,52.389828947094585
2014-02-01,78.08824884000867,35.06632147911541,53.70224778349844
2014-02-02,78.06676711793811,-1.5120548762228125,55.007620092480394
2014-02-03,78.04528539586757,12.57447331660663,56.27606520108088
2014-02-04,78.02380367379702,-16.555676519818757,57.479465467297075
2014-02-05,78.00232195172647,-13.772318272664073,58.59184579613791
2014-02-06,77.98084022965594,-14.628861378030852,59.58966331817488
2014-02-07,77.95935850758538,-1.1718837489378886,60.45200797382037
2014-02-08,77.93787678551483,35.0663214791278,61.160717738631725
2014-02-09,77.91639506344428,-1.512054876242822,61.7004149304672
2014-02-10,77.89491334137374,12.574473316591984,62.058472373891895
2014-02-11,77.87343161930319,-16.555676519866637,62.22492009246901
2014-02-12,77.85194989723264,-13.772318272693516,62.19230460209176
2014-02-13,77.8304681751621,-14.628861378098382,61.95551375349009
2014-02-14,77.80898645309155,-1.1718837489075304,61.51158040288416
2014-02-15,77.787504731021,35.066321479140186,60.85947797930094
2014-02-16,77.76602300895046,-1.5120548762166388,59.99992028626129
2014-02-17,77.74454128687991,12.574473316632048,58.93517666373577
2014-02-18,77.72305956480935,-16.55567651985548,57.66891199864779
2014-02-19,77.7015778427388,-13.772318272722954,56.20605907866641
2014-02-20,77.68009612066827,-14.62886137796374,54.552728515762524
2014-02-21,77.65861439859772,-1.171883749045048,52.716159014122454
2014-02-22,77.63713267652717,35.06632147909974,50.70470821738604
2014-02-23,77.61565095445661,-1.5120548762301995,48.52788184291432
2014-02-24,77.59416923238607,12.574473316655936,46.19639639327816
2014-02-25,77.57268751031552,-16.555676519920215,43.72226852293169
2014-02-26,77.55120578824497,-13.772318272752399,41.11892221748542
2014-02-27,77.52972406617442,-14.628861378060305,38.40130339172278
2014-02-28,77.50824234410388,-1.1718837489605614,35.585990394072915
2014-03-01,77.48676062203333,35.06632147911213,32.69128826948097
2014-03-02,77.46527889996278,-1.5120548762437547,29.73729451140628
2014-03-03,77.44379717789224,12.574473316580397,26.74592444122422
