Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,27.22463768115942,68.81620659303353,36.84545984273935,42.39210155148096,A_Temporal_Base
Linear Regression,22.599950088799723,44.05750209570466,31.26040579999651,35.19089548382919,A_Temporal_Base
Random Forest,19.584697584541065,37.37161713981863,30.309337296176647,30.49577733897508,A_Temporal_Base
Holt-Winters,27.486640067935177,52.246533368662995,40.186002751444065,42.80007141749003,A_Temporal_Base
Prophet,27.672660182467503,42.32732881578629,42.992099746847664,43.08972756198043,A_Temporal_Base
SARIMAX,24.778115248878287,44.54936755301438,34.401777723367495,38.58256591644799,A_Temporal_Base
Ensemble (Top-3 Experts),20.976813257629093,37.760988274397995,30.121434701668193,32.66347226575814,A_Temporal_Base
