Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,7907.073913043478,12539.602626514867,20.97966307211546,A_Temporal_Base
Linear Regression,7924.776744206753,10108.105514933848,22.55568077728372,A_Temporal_Base
Random Forest,24996.00152173913,26050.17583353633,75.21221638152436,A_Temporal_Base
Holt-Winters,8468.599661372942,11440.86812422226,21.927590158648552,A_Temporal_Base
Prophet,6999.050524057521,9772.392532508278,17.889279101297237,A_Temporal_Base
SARIMAX,5335.214771541818,6624.0336524120485,15.173889503845556,A_Temporal_Base
