Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,3736.813623188406,5941.434741254709,19.789203303691217,A_Temporal_Base
Linear Regression,3148.6309016889636,4307.377698197857,17.703232197977282,A_Temporal_Base
Random Forest,3998.1362224637683,4974.702395171936,23.188491267465217,A_Temporal_Base
Holt-Winters,2631.4604893327805,4047.650325795414,13.723863264813152,A_Temporal_Base
Prophet,3202.79459536643,4155.149783513591,17.5927436368251,A_Temporal_Base
SARIMAX,4.1145690572549304e-07,4.1234869591754695e-07,2.342702175237166e-09,A_Temporal_Base
Ensemble (Top-3 Experts),1883.3120868005408,2660.5651956692586,10.1030161743602,A_Temporal_Base
