Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,14572.263188405797,22179.585248565265,21.42256845824479,C_Context_Expert
Linear Regression,7363.061282286473,9300.27768597347,11.83759637084065,C_Context_Expert
Random Forest,7235.457242028987,9317.681028078312,11.544793586961884,C_Context_Expert
Holt-Winters,9627.774179200602,14840.677518566035,13.843855493020667,C_Context_Expert
Prophet,8429.997887494055,10014.117403159456,14.115826580309484,C_Context_Expert
ARIMAX,11492.664389027086,13970.087359259905,16.845778175386595,C_Context_Expert
