Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,52.71333333333334,132.29718584538634,36.82622214337059,42.40721287086578,C_Context_Expert
Linear Regression,35.26028355600372,46.00072847206571,33.25690431075479,28.36645410357666,C_Context_Expert
Random Forest,22.166697101449277,30.561348828933713,21.264189628668788,17.8328286826577,C_Context_Expert
Holt-Winters,73.04203857794812,111.28466771102552,62.95558637500498,58.76140024972245,C_Context_Expert
Prophet,56.63141441352459,66.66691730194736,60.38129772538214,45.55925976120944,C_Context_Expert
SARIMAX,29.385802715940525,38.41543207635914,27.392508155893353,23.640508242496942,C_Context_Expert
Ensemble (Top-3 Experts),22.33373438182122,31.011537450069,19.95559440200896,17.96720807128999,C_Context_Expert
