Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,3736.813623188406,5941.434741254709,19.789203303691217,B_Sales_Dynamics
Linear Regression,2582.535151963,3924.9051006580175,14.024399875234986,B_Sales_Dynamics
Random Forest,4196.856944927536,5281.549841387117,25.06894850766451,B_Sales_Dynamics
Holt-Winters,2631.8784641540224,4047.5885770181026,13.72732413078567,B_Sales_Dynamics
Prophet,3020.6364972694896,3948.92368755069,16.80861786380045,B_Sales_Dynamics
SARIMAX,2836.141534557685,3921.0619836800756,15.798674579437066,B_Sales_Dynamics
Ensemble (Top-3 Experts),2650.675920947642,3750.7136513987816,14.692054478344227,B_Sales_Dynamics
