Model,MAE,RMSE,MAPE
Seasonal Naive,7907.073913043478,12539.602626514867,20.97966307211546
Linear Regression,4206.4536514405945,5264.397064214694,11.969637065545992
Random Forest,11489.166759420292,12332.24652754507,34.32011709005038
Holt-Winters,8463.550997614362,11435.497506783582,21.913654343154327
Prophet,8867.97271113453,10170.308843301626,24.23840958641948
