day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0,1,1,2,64,64,228,True
1,Seg,0.0,3,1,4,40,40,480,False
2,Ter,0.0,1,1,2,42,42,228,False
3,Qua,0.0,4,3,7,46,46,810,False
4,Qui,0.0,1,1,2,42,42,228,False
5,Sex,0.0697,0,0,0,58,58,0,False
6,Sab,0.0,0,2,2,82,82,204,True
