Model,MAE,RMSE,MAPE
Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994
Linear Regression,3153.627802034075,4221.074545043529,11.389165846964206
Random Forest,6921.265431159419,8065.149107305937,26.006460392167934
Holt-Winters,4593.809743951222,6944.985743704754,14.835414208072256
Prophet,6332.241494501246,7318.337554711812,21.626349655352655
