Model,MAE,RMSE,MAPE
Seasonal Naive,14572.263188405797,22179.585248565265,21.42256845824479
Linear Regression,6820.666337432804,8457.24280837871,10.73345276888042
Random Forest,6609.143234057973,8480.258223519077,10.522776536389538
Holt-Winters,9627.774179200602,14840.677518566035,13.843855493020667
Prophet,8386.982698740563,9950.499832590824,14.069417378920052
