day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0,13,1,14,97,True
1,Seg,0.0071,7,2,9,61,False
2,Ter,0.0,9,0,9,65,False
3,Qua,0.0,10,0,10,71,False
4,Qui,0.0,9,0,9,65,False
5,Sex,0.0,13,0,13,89,False
6,Sab,0.0075,15,3,18,125,True
