store,algoritmo,lucro_maximo,total_staff,avg_discount,T_init,alpha,n_restarts,n_temp_steps,total_iters
baltimore,Simulated Annealing,2588,82,0.21,5000.0,0.995,5,1701,425250
lancaster,Simulated Annealing,3731,98,1.5,5000.0,0.995,5,1701,425250
philadelphia,Simulated Annealing,6846,186,0.0,5000.0,0.995,5,1701,425250
richmond,Simulated Annealing,1927,58,0.51,5000.0,0.995,5,1701,425250
