day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0,15,15,30,230,True
1,Seg,0.0,12,10,22,144,False
2,Ter,0.0,10,14,24,154,False
3,Qua,0.0,12,14,26,168,False
4,Qui,0.0,10,14,24,154,False
5,Sex,0.0,15,15,30,211,False
6,Sab,0.0,15,15,30,298,True
