Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,A_Temporal_Base
Linear Regression,5866.293834675564,7501.780669837748,21.377846962093496,A_Temporal_Base
Random Forest,8739.635097101449,9808.239204908741,32.853269459981334,A_Temporal_Base
Holt-Winters,4592.7554488080605,6943.824655258075,14.832558374513544,A_Temporal_Base
Prophet,4637.999797647799,6558.830127277778,15.320470662200025,A_Temporal_Base
SARIMAX,35507.69687759191,40590.05075892174,125.06884941546437,A_Temporal_Base
