day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.2572,6,10,16,64,True
1,Seg,0.102,7,0,7,40,False
2,Ter,0.3,2,10,12,42,False
3,Qua,0.2928,0,13,13,46,False
4,Qui,0.0727,0,8,8,42,False
5,Sex,0.2978,11,4,15,58,False
6,Sáb,0.1692,9,9,18,82,True
