Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,3736.813623188406,5941.434741254709,19.789203303691217,C_Context_Expert
Linear Regression,2123.322816615166,2772.895501058597,12.362845092569119,C_Context_Expert
Random Forest,2464.8303666666666,3207.0016585261237,14.621593799521133,C_Context_Expert
Holt-Winters,2631.4604893327805,4047.650325795414,13.723863264813152,C_Context_Expert
Prophet,1870.6528709080906,2427.6143593510637,10.313679301493165,C_Context_Expert
ARIMAX,2848.5126803901176,3429.6347683646363,14.999799912808825,C_Context_Expert
