Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714,A_Temporal_Base
Linear Regression,40.91505675529233,69.59533320427387,38.9461799982568,40.83516187336618,A_Temporal_Base
Random Forest,37.32531497584541,69.83636211258568,40.49521878166094,37.252429787131454,A_Temporal_Base
Holt-Winters,48.848365871249094,84.65543147449573,48.6643904257731,48.752979606801006,A_Temporal_Base
Prophet,44.992853839362205,67.07333733584878,45.26973898574775,44.90499623802693,A_Temporal_Base
SARIMAX,46.44085476475297,71.88460788009122,44.392397327579545,46.35016965021993,A_Temporal_Base
Ensemble (Top-3 Experts),35.92854705636068,62.97279425226272,34.27459054611872,35.858389338090504,A_Temporal_Base
