lucro,staff,desconto_medio,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
12180.0,20.0,5.6899999999999995,0.0714,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0348,2,0,0.026,0,0
10150.0,19.0,5.7,0.0723,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.0351,6,0,0.0348,1,0,0.026,0,0
8155.0,18.0,6.140000000000001,0.1038,0,0,0.1608,0,0,0.0352,3,0,0.0348,7,0,0.0347,6,0,0.0348,2,0,0.026,0,0
6160.0,17.0,6.140000000000001,0.1038,0,0,0.1608,0,0,0.0352,6,0,0.0348,7,0,0.0347,2,0,0.0348,2,0,0.026,0,0
4165.0,16.0,5.92,0.078,0,0,0.1609,0,0,0.0352,5,0,0.0348,7,0,0.035,2,0,0.0348,2,0,0.0354,0,0
2135.0,15.0,5.6899999999999995,0.0714,0,0,0.1609,0,0,0.0352,5,0,0.0348,2,0,0.0351,6,0,0.0348,2,0,0.026,0,0
140.0,14.0,6.140000000000001,0.1038,0,0,0.1608,0,0,0.0352,3,0,0.0348,7,0,0.0347,2,0,0.0348,2,0,0.026,0,0
-1890.0,13.0,6.59,0.1348,0,0,0.1607,0,0,0.0352,3,0,0.0348,2,0,0.035,6,0,0.0348,2,0,0.026,0,0
-3885.0,12.0,6.72,0.1348,0,0,0.1607,0,0,0.0352,2,0,0.0348,2,0,0.035,6,0,0.0348,2,0,0.0354,0,0
-5880.0,11.0,5.75,0.0765,0,0,0.1609,0,0,0.0352,5,0,0.0348,2,0,0.0347,2,0,0.0348,2,0,0.0257,0,0
-7910.0,10.0,6.64,0.1383,0,0,0.1608,0,0,0.0352,6,0,0.0348,2,0,0.035,0,0,0.0348,2,0,0.026,0,0
-9905.0,9.0,6.59,0.1348,0,0,0.1609,0,0,0.0352,3,0,0.0348,2,0,0.0347,2,0,0.0348,2,0,0.026,0,0
-11970.0,8.0,6.909999999999999,0.1476,0,0,0.1609,0,0,0.0352,3,0,0.0348,4,0,0.0351,0,0,0.0351,1,0,0.0353,0,0
-13965.0,7.0,6.800000000000001,0.14,0,0,0.1609,0,0,0.0351,3,0,0.0348,3,0,0.0351,0,0,0.0351,1,0,0.0353,0,0
