day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0293,15,5,20,230,True
1,Seg,0.0924,11,11,22,144,False
2,Ter,0.1045,11,15,26,154,False
3,Qua,0.1491,12,13,25,168,False
4,Qui,0.0821,14,13,27,154,False
5,Sex,0.1966,10,15,25,211,False
6,Sab,0.2251,14,6,20,298,True
