day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.2527,15,14,29,116,True
1,Seg,0.2955,15,3,18,72,False
2,Ter,0.2989,15,5,20,77,False
3,Qua,0.2976,15,7,22,84,False
4,Qui,0.2989,15,5,20,77,False
5,Sex,0.2954,15,13,28,106,False
6,Sab,0.1106,15,14,29,149,True
