day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0,15,15,30,230,True
1,Seg,0.1404,15,15,30,144,False
2,Ter,0.1381,15,15,30,154,False
3,Qua,0.0708,15,15,30,168,False
4,Qui,0.1382,15,15,30,154,False
5,Sex,0.0,15,15,30,211,False
6,Sab,0.0,15,15,30,298,True
