store,lucro,unidades,pct_unidades,total_staff,avg_discount
baltimore,3710.0,2301,23.1,21,0.4
lancaster,-4445.0,1575,15.8,15,6.83
philadelphia,25725.0,3700,37.1,34,6.23
richmond,9275.0,2388,24.0,22,0.34
TOTAL,34265.0,9964,100.0,92,3.45
