Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,27.22463768115942,68.81620659303353,36.84545984273935,42.39210155148096,D_Full_Context
Linear Regression,12.539219531697501,16.62647022204803,21.45100353283043,19.525103473898504,D_Full_Context
Random Forest,7.98276014492754,11.142271199606476,14.169757275507644,12.430137094499301,D_Full_Context
Holt-Winters,27.486640067935177,52.246533368662995,40.186002751444065,42.80007141749003,D_Full_Context
Prophet,12.778318233728834,16.348098910772148,24.15776937313025,19.897409492294262,D_Full_Context
SARIMAX,16.079052510403532,20.6439556756534,30.42706542739634,25.037057787708743,D_Full_Context
Ensemble (Top-3 Experts),8.909961900827613,12.073704680975522,15.322127095493029,13.873904003545393,D_Full_Context
