day,pr,hr_x,hr_j,total_staff,day_label,is_weekend,customers_forecast
0,0.1355,0,0,0,Dom,True,64
1,0.001,4,2,6,Seg,False,40
2,0.0004,4,2,6,Ter,False,42
3,0.002,1,6,7,Qua,False,46
4,0.0146,0,5,5,Qui,False,42
5,0.0001,7,1,8,Sex,False,58
6,0.0027,0,0,0,Sab,True,82
