store,lucro,unidades,pct_unidades,total_staff,avg_discount
baltimore,770.0,1840,18.4,16,2.17
lancaster,8330.0,2334,23.3,19,4.58
philadelphia,5950.0,2177,21.8,21,3.0
richmond,29890.0,3648,36.5,32,2.23
TOTAL,44940.0,9999,100.0,88,3.0
