lucro_total,staff_total,baltimore_pr_Sun,baltimore_hr_x_Sun,baltimore_hr_j_Sun,baltimore_pr_Mon,baltimore_hr_x_Mon,baltimore_hr_j_Mon,baltimore_pr_Tue,baltimore_hr_x_Tue,baltimore_hr_j_Tue,baltimore_pr_Wed,baltimore_hr_x_Wed,baltimore_hr_j_Wed,baltimore_pr_Thu,baltimore_hr_x_Thu,baltimore_hr_j_Thu,baltimore_pr_Fri,baltimore_hr_x_Fri,baltimore_hr_j_Fri,baltimore_pr_Sat,baltimore_hr_x_Sat,baltimore_hr_j_Sat,lancaster_pr_Sun,lancaster_hr_x_Sun,lancaster_hr_j_Sun,lancaster_pr_Mon,lancaster_hr_x_Mon,lancaster_hr_j_Mon,lancaster_pr_Tue,lancaster_hr_x_Tue,lancaster_hr_j_Tue,lancaster_pr_Wed,lancaster_hr_x_Wed,lancaster_hr_j_Wed,lancaster_pr_Thu,lancaster_hr_x_Thu,lancaster_hr_j_Thu,lancaster_pr_Fri,lancaster_hr_x_Fri,lancaster_hr_j_Fri,lancaster_pr_Sat,lancaster_hr_x_Sat,lancaster_hr_j_Sat,philadelphia_pr_Sun,philadelphia_hr_x_Sun,philadelphia_hr_j_Sun,philadelphia_pr_Mon,philadelphia_hr_x_Mon,philadelphia_hr_j_Mon,philadelphia_pr_Tue,philadelphia_hr_x_Tue,philadelphia_hr_j_Tue,philadelphia_pr_Wed,philadelphia_hr_x_Wed,philadelphia_hr_j_Wed,philadelphia_pr_Thu,philadelphia_hr_x_Thu,philadelphia_hr_j_Thu,philadelphia_pr_Fri,philadelphia_hr_x_Fri,philadelphia_hr_j_Fri,philadelphia_pr_Sat,philadelphia_hr_x_Sat,philadelphia_hr_j_Sat,richmond_pr_Sun,richmond_hr_x_Sun,richmond_hr_j_Sun,richmond_pr_Mon,richmond_hr_x_Mon,richmond_hr_j_Mon,richmond_pr_Tue,richmond_hr_x_Tue,richmond_hr_j_Tue,richmond_pr_Wed,richmond_hr_x_Wed,richmond_hr_j_Wed,richmond_pr_Thu,richmond_hr_x_Thu,richmond_hr_j_Thu,richmond_pr_Fri,richmond_hr_x_Fri,richmond_hr_j_Fri,richmond_pr_Sat,richmond_hr_x_Sat,richmond_hr_j_Sat
-7910.0,62,0.1174,0,0,0.006,3,0,0.0084,2,1,0.0534,1,0,0.0061,3,0,0.0082,1,0,0.022,0,1,0.0637,0,0,0.0616,0,1,0.0394,3,0,0.0267,3,1,0.1229,1,1,0.045,3,1,0.1179,1,1,0.0398,0,0,0.1441,3,1,0.1402,2,1,0.0911,1,0,0.101,1,0,0.0527,2,1,0.0943,1,0,0.0652,1,0,0.0903,3,1,0.0356,3,2,0.1048,1,1,0.0096,2,2,0.0395,2,1,0.0448,1,1
-9485.0,61,0.1174,0,0,0.006,3,0,0.0084,2,1,0.0534,1,0,0.0061,3,0,0.008,1,0,0.022,0,1,0.0637,0,0,0.0616,0,1,0.0394,3,0,0.0267,3,1,0.1229,1,1,0.045,3,1,0.1179,1,1,0.0397,0,0,0.1441,3,1,0.1402,2,2,0.0911,1,0,0.101,0,0,0.0527,2,0,0.0945,1,0,0.0652,1,0,0.0903,3,1,0.0356,3,2,0.1048,1,1,0.0084,2,2,0.0395,2,1,0.0194,1,1
-16555.0,56,0.0927,0,0,0.0056,2,0,0.0608,0,1,0.0524,2,0,0.0089,3,0,0.0088,0,0,0.0589,0,0,0.133,1,0,0.1329,0,1,0.0677,3,1,0.0173,4,1,0.1251,1,1,0.0364,3,2,0.0285,1,0,0.0296,0,0,0.139,2,1,0.1392,1,1,0.0911,1,0,0.0409,1,0,0.0138,2,2,0.0306,2,0,0.0498,1,0,0.0347,2,2,0.0357,3,2,0.1071,0,0,0.0488,2,0,0.0395,3,0,0.0642,1,0
-18025.0,55,0.0927,0,0,0.0056,2,0,0.0608,0,1,0.0524,2,0,0.0089,3,0,0.0088,0,0,0.0589,0,0,0.133,1,0,0.1329,0,1,0.0677,3,1,0.0173,4,1,0.1251,1,1,0.0364,3,2,0.0285,1,0,0.0296,0,0,0.139,2,1,0.1392,1,1,0.0911,1,0,0.0409,0,0,0.0138,2,2,0.0306,2,0,0.0498,1,0,0.0347,2,2,0.0357,3,2,0.1071,0,0,0.0488,2,0,0.0395,3,0,0.0642,1,0
-20090.0,54,0.0281,0,0,0.0632,0,0,0.0608,0,1,0.0486,2,0,0.0089,3,0,0.0081,3,1,0.0589,0,0,0.133,0,0,0.1329,1,1,0.0403,2,1,0.0841,2,1,0.1251,1,1,0.0366,3,1,0.0285,1,0,0.0402,0,0,0.059,2,1,0.0937,1,0,0.0911,1,0,0.0409,1,0,0.0056,2,0,0.0306,2,1,0.0498,1,1,0.0347,2,2,0.0357,3,2,0.1071,1,0,0.0488,2,0,0.0395,3,0,0.046,1,0
-21525.0,53,0.0927,0,0,0.0653,1,0,0.0608,0,1,0.0524,1,0,0.0089,4,0,0.0088,0,1,0.0589,0,0,0.133,0,0,0.0599,1,1,0.0677,2,1,0.0131,2,1,0.1251,1,1,0.0366,3,1,0.0267,1,0,0.0296,0,0,0.059,0,1,0.1399,1,0,0.0911,1,0,0.0409,1,0,0.006,2,2,0.0306,2,1,0.0498,1,1,0.0347,2,2,0.0357,3,2,0.1071,2,0,0.0488,2,0,0.0395,3,0,0.0642,1,0
-22785.0,52,0.0927,0,0,0.0653,1,0,0.0608,0,1,0.0524,1,0,0.0089,4,0,0.0088,0,1,0.0589,0,0,0.133,0,0,0.0599,1,1,0.0677,2,0,0.0131,2,1,0.1251,1,1,0.0366,3,1,0.0267,1,0,0.0296,0,0,0.059,0,1,0.1399,1,0,0.0911,1,0,0.0409,1,0,0.006,2,2,0.0306,2,1,0.0498,1,1,0.0347,2,2,0.0357,3,2,0.1071,2,0,0.0488,2,0,0.0395,3,0,0.0642,1,0
-27510.0,49,0.0927,0,0,0.0632,0,0,0.0608,0,1,0.049,2,0,0.0089,3,0,0.0088,0,0,0.0589,0,0,0.133,0,0,0.1329,1,1,0.0403,2,1,0.0212,2,1,0.1251,1,1,0.0366,3,1,0.0285,1,0,0.0396,0,0,0.059,2,1,0.0937,1,0,0.0911,1,0,0.0409,1,0,0.0056,2,0,0.0306,2,1,0.0498,1,1,0.0347,2,2,0.0357,3,2,0.1071,0,0,0.0488,2,0,0.0395,3,0,0.046,1,0
-31920.0,47,0.0258,0,0,0.0225,0,0,0.0961,0,1,0.0731,2,0,0.0091,2,0,0.0373,1,2,0.1428,0,0,0.1484,0,0,0.0743,1,1,0.0682,2,1,0.0124,3,1,0.1252,1,1,0.0963,2,1,0.1493,2,0,0.1002,0,0,0.0232,0,1,0.1396,0,0,0.041,1,0,0.0034,0,0,0.0059,1,0,0.0948,1,0,0.1222,0,0,0.0033,3,1,0.0868,3,1,0.1048,1,0,0.0477,3,2,0.0154,3,1,0.0739,1,0
-33040.0,46,0.0258,0,0,0.0223,0,0,0.0961,0,1,0.0731,2,0,0.0091,2,0,0.0373,1,2,0.1428,0,0,0.1484,0,0,0.0743,1,1,0.0682,2,1,0.0124,1,1,0.1252,1,1,0.0365,3,1,0.1493,2,0,0.1002,0,0,0.0232,0,1,0.1396,0,0,0.041,1,0,0.0034,0,0,0.0059,1,0,0.0948,1,0,0.1222,0,0,0.0033,3,1,0.0868,3,1,0.1048,1,0,0.0477,3,2,0.0154,3,1,0.0739,1,0
-39725.0,42,0.0258,0,0,0.0225,0,0,0.0978,0,1,0.0731,2,0,0.0091,2,0,0.009,1,2,0.1428,0,0,0.1331,0,0,0.0743,1,1,0.0682,2,0,0.0124,1,1,0.1302,1,1,0.0963,3,1,0.1493,2,0,0.1012,0,0,0.0232,0,1,0.1396,0,0,0.041,1,0,0.0034,0,0,0.0059,1,0,0.0948,1,0,0.1222,0,0,0.0033,2,1,0.0868,1,1,0.1048,1,0,0.0477,3,2,0.0154,3,1,0.0739,1,0
-41825.0,41,0.0258,0,0,0.0225,0,0,0.0961,0,1,0.0731,1,0,0.0091,2,0,0.009,1,2,0.1428,0,0,0.1484,0,0,0.0743,1,1,0.0682,2,1,0.0173,1,1,0.1302,1,1,0.0963,3,1,0.1493,2,0,0.1002,0,0,0.1413,0,1,0.1396,0,0,0.041,1,0,0.0034,0,0,0.0059,1,0,0.0948,1,0,0.1222,0,0,0.0033,1,1,0.0868,1,1,0.1048,1,0,0.0488,3,2,0.0154,3,1,0.0739,1,0
-43085.0,40,0.0258,0,0,0.0225,0,0,0.0961,0,1,0.0731,1,0,0.0091,2,0,0.009,1,1,0.1428,0,0,0.1484,0,0,0.0743,1,1,0.0682,2,1,0.0173,1,1,0.1302,1,1,0.0963,3,1,0.1484,2,0,0.1002,0,0,0.1413,0,1,0.1396,0,0,0.041,1,0,0.0034,0,0,0.0059,1,0,0.0948,1,0,0.1222,0,0,0.0033,1,1,0.0868,1,1,0.1048,1,0,0.0488,3,2,0.0154,3,1,0.0739,1,0
-49805.0,37,0.0258,0,0,0.0225,0,0,0.0961,0,1,0.0731,2,0,0.0108,2,0,0.0723,0,0,0.1414,0,0,0.1484,1,0,0.0748,1,1,0.0682,0,1,0.0138,1,1,0.1301,1,1,0.0963,1,1,0.1157,1,0,0.1002,0,0,0.0265,0,1,0.1398,0,1,0.0028,1,1,0.1043,0,0,0.0059,2,1,0.0954,1,0,0.1203,0,1,0.1069,3,1,0.0371,1,1,0.1059,1,1,0.1266,0,2,0.0154,1,0,0.0737,1,0
