ds,trend,weekly,yearly
2014-01-28,32200.11167471777,-166.0406169857107,-5065.248957157958
2014-01-29,32152.03033133196,-275.19513109229314,-5775.530446714463
2014-01-30,32103.948987946147,182.55268978081284,-6444.194163345103
2014-01-31,32055.867644560338,84.04309613631808,-7063.503251517272
2014-02-01,32007.78630117453,1494.7519542880998,-7626.554341002655
2014-02-02,31959.704957788726,-1194.0065822094866,-8127.4361477411785
2014-02-03,31911.623614402917,-126.10540991315901,-8561.360646251682
2014-02-04,31863.542271017104,-166.0406169842681,-8924.763800756631
2014-02-05,31815.460927631295,-275.19513108742245,-9215.373720056707
2014-02-06,31767.379584245486,182.55268977652358,-9432.24502396851
2014-02-07,31719.298240859676,84.04309613358193,-9575.75915037841
2014-02-08,31671.216897473863,1494.751954287509,-9647.591265158497
2014-02-09,31623.135554088054,-1194.006582207795,-9650.645336334761
2014-02-10,31575.05421070225,-126.1054099135972,-9588.959774347968
2014-02-11,31526.97286731644,-166.04061698874983,-9467.586799224378
2014-02-12,31478.891523930633,-275.19513108904613,-9292.449352945156
2014-02-13,31430.81018054482,182.55268977346384,-9070.179914309972
2014-02-14,31382.72883715901,84.04309613457318,-8807.945980684988
2014-02-15,31334.647493773205,1494.7519542869188,-8513.267246934975
2014-02-16,31286.566150387396,-1194.0065822080235,-8193.829631116188
2014-02-17,31238.484807001587,-126.10540991133482,-7857.3012682418575
2014-02-18,31190.403463615774,-166.04061698730726,-7511.155420818124
2014-02-19,31142.322120229965,-275.19513109066975,-7162.504945128599
2014-02-20,31094.240776844155,182.55268977948333,-6817.952516662279
2014-02-21,31046.159433458346,84.04309613004851,-6483.460271083836
2014-02-22,30998.078090072533,1494.751954287794,-6164.24187648138
2014-02-23,30949.996746686724,-1194.0065822083152,-5864.679338259175
2014-02-24,30901.91540330092,-126.10540990776947,-5588.266071851735
2014-02-25,30853.834059915112,-166.04061699109562,-5337.576983583956
2014-02-26,30805.752716529303,-275.19513109229354,-5114.265500009109
2014-02-27,30757.67137314349,182.5526897751941,-4919.086704327149
2014-02-28,30709.59002975768,84.0430961328281,-4751.944997572471
2014-03-01,30661.508686371875,1494.7519542872035,-4611.9640231302465
2014-03-02,30613.427342986066,-1194.0065822086067,-4497.575994772276
2014-03-03,30565.345999600257,-126.10540991751778,-4406.627066921936
2014-03-04,30517.264656214444,-166.04061698511555,-4336.494994612274
2014-03-05,30469.183312828634,-275.19513108742274,-4284.215059176993
2014-03-06,30421.10196944283,182.55268977667396,-4246.61009027138
2014-03-07,30373.020626057023,84.0430961328497,-4220.420397630897
2014-03-08,30324.939282671206,1494.7519542861833,-4202.429535315797
2014-03-09,30276.8579392854,-1194.0065822088984,-4189.582051974977
2014-03-10,30228.77659589959,-126.10540991925895,-4179.0897237668105
2014-03-11,30180.695252513782,-166.0406169889039,-4168.523210139137
2014-03-12,30132.613909127973,-275.19513108904636,-4155.8866015689355
2014-03-13,30084.53256574216,182.55268977692438,-4139.672925439072
2014-03-14,30036.45122235635,84.0430961328713,-4118.899322265043
2014-03-15,29988.36987897054,1494.751954287918,-4093.1212791849516
2014-03-16,29940.28853558474,-1194.006582209127,-4062.425990011737
2014-03-17,29892.20719219893,-126.10540991569351,-4027.405580270093
2014-03-18,29844.125848813117,-166.04061698746136,-3989.11157126676
2014-03-19,29796.044505427308,-275.1951310852478,-3948.9925402759172
2014-03-20,29747.9631620415,182.55268977717472,-3908.8174471790917
2014-03-21,29699.881818655693,84.04309613110463,-3870.5875264867873
2014-03-22,29651.800475269876,1494.7519542868977,-3836.4399753616003
2014-03-23,29603.71913188407,-1194.0065822094186,-3808.546894000025
2014-03-24,29555.63778849826,-126.10540991212817,-3789.013048734209
2014-03-25,29507.556445112452,-166.04061698601876,-3779.776028125237
2014-03-26,29459.475101726643,-275.1951310912216,-3782.5122493921926
2014-03-27,29411.39375834083,182.55268977865458,-3798.552051301963
2014-03-28,29363.312414955028,84.04309613388399,-3828.8067880646213
2014-03-29,29315.23107156922,1494.751954286307,-3873.710427690344
2014-03-30,29267.14972818341,-1194.006582207664,-3933.1776712186493
2014-03-31,29219.0683847976,-126.10540991386948,-4006.5800619225274
2014-04-01,29170.987041411787,-166.04061698526962,-4092.740963489647
2014-04-02,29122.905698025977,-275.195131087423,-4189.949671912841
2014-04-03,29074.824354640168,182.55268978013453,-4295.9943066048845
2014-04-04,29026.743011254363,84.04309613666337,-4408.212521269455
2014-04-05,28978.661667868546,1494.7519542857167,-4523.558503075831
2014-04-06,28930.58032448274,-1194.0065822039262,-4638.684207085811
2014-04-07,28882.498981096935,-126.1054099143075,-4750.032317641288
2014-04-08,28834.417637711125,-166.04061698905795,-4853.938053184057
2014-04-09,28786.336294325316,-275.1951310890467,-4946.736647001625
2014-04-10,28738.254950939503,182.55268977707485,-5024.873151956497
2014-04-11,28690.173607553697,84.04309613489684,-5085.011137619258
2014-04-12,28642.092264167888,1494.7519542870214,-5124.136875395431
2014-04-13,28594.01092078208,-1194.006582206201,-5139.655739910528
2014-04-14,28545.92957739627,-126.10540991474576,-5129.477788622707
2014-04-15,28497.848234010457,-166.0406169928463,-5092.0898087823825
2014-04-16,28449.766890624647,-275.195131088526,-5026.611531093668
2014-04-17,28401.685547238838,182.55268978186479,-4932.834189839119
2014-04-18,28353.604203853036,84.04309613491837,-4811.240144935635
2014-04-19,28305.522860467223,1494.7519542860011,-4663.00285567719
2014-04-20,28257.441517081414,-1194.0065822064926,-4489.967091298403
2014-04-21,28209.360173695604,-126.10540991118042,-4294.609861514428
2014-04-22,28161.278830309795,-166.0406169920971,-4079.983132774742
2014-04-23,28113.197486923986,-275.19513109014974,-3849.6399452745495
2014-04-24,28065.116143538173,182.55268977880505,-3607.546045263149
2014-04-25,28017.034800152363,84.04309613493989,-3357.979581788542
2014-04-26,27968.953456766558,1494.7519542877362,-3105.4217736742744
2014-04-27,27920.87211338075,-1194.006582206721,-2854.4417207837373
2014-04-28,27872.790769994943,-126.10540991692511,-2609.578705404281
2014-04-29,27824.70942660913,-166.0406169906545,-2375.2254002130853
2014-04-30,27776.62808322332,-275.1951310917734,-2155.5153667320933
2014-05-01,27728.546739837515,182.55268978028494,-1954.2180939479526
2014-05-02,27680.465396451706,84.04309613771956,-1774.6445951226676
2014-05-03,27632.384053065893,1494.7519542886114,-1619.566259141943
2014-05-04,27584.302709680083,-1194.0065822070128,-1491.1492511178626
2014-05-05,27536.221366294274,-126.10540991335984,-1390.9062877281233
2014-05-06,27488.140022908465,-166.040616989212,-1319.667090400683
2014-05-07,27440.058679522655,-275.19513109339715,-1277.56825992232
2014-05-08,27391.977336136842,182.55268977599576,-1264.062736381886
2014-05-09,27343.895992751033,84.04309613319505,-1277.948426161135
2014-05-10,27295.81464936523,1494.7519542884509,-1317.4150105262297
2014-05-11,27247.733305979422,-1194.0065822073045,-1380.107415348788
2014-05-12,27199.651962593613,-126.10540991379801,-1463.2039346322558
2014-05-13,27151.5706192078,-166.04061698915615,-1563.5065762583042
2014-05-14,27103.48927582199,-275.19513108852635,-1677.5408494273768
2014-05-15,27055.407932436185,182.55268977747565,-1801.6619496414883
2014-05-16,27007.326589050375,84.0430961359745,-1932.1641265999679
2014-05-17,26959.245245664562,1494.7519542874302,-2065.3899475571097
2014-05-18,26911.163902278753,-1194.006582207596,-2197.8361955161445
2014-05-19,26863.082558892944,-126.10540991153565,-2326.2532666412208
2014-05-20,26815.00121550714,-166.04061698771352,-2447.735150382034
2014-05-21,26766.919872121332,-275.1951310955722,-2559.7973818298465
2014-05-22,26718.83852873552,182.5526897789555,-2660.4407391661157
2014-05-23,26670.75718534971,84.04309613599602,-2748.1989076914488
