Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,6277.477971014492,9644.063193956932,21.181607098605994,C_Context_Expert
Linear Regression,3379.1744570185756,4548.0545264300645,12.591930287497572,C_Context_Expert
Random Forest,6027.969028985507,6883.737937197868,22.90096359902106,C_Context_Expert
Holt-Winters,4593.809743951222,6944.985743704754,14.835414208072256,C_Context_Expert
Prophet,5774.436668898541,6733.960181395556,19.721999908715794,C_Context_Expert
SARIMAX,9494.945821726744,10583.269471616393,33.29116334507547,C_Context_Expert
Ensemble (Top-3 Experts),2752.394639232321,3642.8032635957597,9.93728650622291,C_Context_Expert
