Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,94.7268115942029,237.18817941377938,37.014740083893734,41.932413762574704,A_Temporal_Base
Linear Regression,66.10032473629171,152.02805651245308,23.074243753011416,29.26041867171175,A_Temporal_Base
Random Forest,60.94575652173913,136.41626562423252,23.559534284793834,26.97866249832797,A_Temporal_Base
Holt-Winters,94.96579623676604,182.74916399552254,38.38981124090962,42.03820432752888,A_Temporal_Base
Prophet,92.41374174915876,144.85829595193374,41.069025273909816,40.908494555628,A_Temporal_Base
SARIMAX,68.77499146996567,152.21089642959066,24.57079625825122,30.444404813184228,A_Temporal_Base
Ensemble (Top-3 Experts),67.30880661594149,137.324842901902,26.00184195989015,29.79537346802783,A_Temporal_Base
