store,lucro_maximo,total_staff,avg_discount,restarts,iterations
baltimore,2383,88,1.89,10,2000
lancaster,3406,104,4.93,10,2000
philadelphia,6628,184,3.02,10,2000
richmond,1896,58,4.03,10,2000
