day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0,0,11,11,64,True
1,Seg,0.0356,4,2,6,40,False
2,Ter,0.1383,0,7,7,42,False
3,Qua,0.0375,6,1,7,46,False
4,Qui,0.0354,6,0,6,42,False
5,Sex,0.035,8,0,8,58,False
6,Sáb,0.0,4,9,13,82,True
