day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.011,8,7,15,97,True
1,Seg,0.0,8,1,9,61,False
2,Ter,0.0939,4,6,10,65,False
3,Qua,0.0115,5,6,11,71,False
4,Qui,0.0,7,3,10,65,False
5,Sex,0.008,4,10,14,89,False
6,Sáb,0.0077,10,9,19,125,True
