day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.0321,4,14,18,116,True
1,Seg,0.0318,6,5,11,72,False
2,Ter,0.1114,1,12,13,77,False
3,Qua,0.0188,11,1,12,84,False
4,Qui,0.0876,11,0,11,77,False
5,Sex,0.0321,10,6,16,106,False
6,Sáb,0.0316,8,15,23,149,True
