lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
68985.0,58.0,0.1043,5,4,0.0652,5,2,0.0526,6,1,0.0347,6,1,0.072,1,7,0.0348,7,1,0.0347,11,1
67865.0,57.0,0.1074,5,4,0.0661,5,2,0.0367,6,0,0.0352,6,1,0.072,1,7,0.0347,7,1,0.0347,11,1
67865.0,57.0,0.1074,5,4,0.0661,5,2,0.0367,6,0,0.0347,6,1,0.072,1,7,0.0347,7,1,0.0347,11,1
66885.0,56.0,0.1074,5,5,0.0351,5,1,0.053,6,1,0.0347,6,1,0.0718,1,7,0.0347,8,0,0.0349,9,1
66640.0,55.0,0.1077,5,6,0.035,6,0,0.0366,6,0,0.0347,7,0,0.0718,1,7,0.0347,8,0,0.0349,9,0
65485.0,54.0,0.1076,5,5,0.035,6,0,0.0366,6,0,0.0347,7,0,0.0719,1,7,0.0347,8,0,0.0349,9,0
65485.0,54.0,0.1077,5,5,0.035,6,0,0.0366,6,0,0.0347,7,0,0.0719,1,7,0.0347,8,0,0.0349,9,0
64400.0,53.0,0.106,5,4,0.0351,6,0,0.0366,6,0,0.0348,7,0,0.0721,1,7,0.0347,8,0,0.0349,9,0
62685.0,51.0,0.1071,5,0,0.0351,6,0,0.0365,6,0,0.0347,7,0,0.072,1,7,0.0348,8,0,0.0347,11,0
62685.0,51.0,0.1071,5,0,0.0351,6,0,0.0366,6,0,0.0347,7,0,0.072,1,7,0.0348,8,0,0.0347,11,0
60760.0,50.0,0.1058,5,0,0.0351,6,0,0.0524,6,1,0.0347,7,0,0.072,1,7,0.0348,8,0,0.0347,9,0
60760.0,50.0,0.1058,5,0,0.0351,6,0,0.0524,6,1,0.0347,7,0,0.072,1,7,0.0348,8,0,0.0347,9,0
