lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
37380.0,34.0,0.0293,0,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.0148,8,0,0.0149,2,0,0.0148,0,0
35525.0,33.0,0.03,0,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.015,2,0,0.0148,7,0,0.0149,0,0
35525.0,33.0,0.03,0,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.015,2,0,0.0148,7,0,0.0149,0,0
33670.0,32.0,0.0282,0,0,0.0149,7,0,0.0149,8,0,0.0148,8,0,0.015,2,0,0.0149,7,0,0.015,0,0
33670.0,32.0,0.0409,0,0,0.0149,8,0,0.015,7,0,0.0148,8,0,0.015,7,0,0.0148,2,0,0.0159,0,0
31815.0,31.0,0.0312,0,0,0.0149,7,0,0.0148,8,0,0.0148,8,0,0.015,0,0,0.0148,8,0,0.015,0,0
31815.0,31.0,0.0302,0,0,0.0149,8,0,0.0149,8,0,0.0148,8,0,0.0149,0,0,0.0149,7,0,0.0149,0,0
29960.0,30.0,0.0405,0,0,0.0149,8,0,0.015,1,0,0.0148,8,0,0.015,5,0,0.0148,8,0,0.0159,0,0
29960.0,30.0,0.0405,0,0,0.0149,8,0,0.015,1,0,0.0148,8,0,0.015,5,0,0.0148,8,0,0.0148,0,0
28105.0,29.0,0.0313,0,0,0.0149,8,0,0.0169,0,0,0.0149,8,0,0.015,5,0,0.0149,8,0,0.0149,0,0
28105.0,29.0,0.0313,0,0,0.0149,8,0,0.0169,0,0,0.0149,8,0,0.015,5,0,0.0149,8,0,0.0149,0,0
26285.0,28.0,0.0293,0,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.0148,2,0,0.0149,2,0,0.0148,0,0
26285.0,28.0,0.0293,0,0,0.0149,8,0,0.0148,8,0,0.0148,8,0,0.0148,2,0,0.0149,2,0,0.015,0,0
24430.0,27.0,0.0147,0,0,0.0149,8,0,0.0167,1,0,0.0148,8,0,0.0149,2,0,0.0148,8,0,0.0151,0,0
24430.0,27.0,0.0282,0,0,0.0149,7,0,0.0149,8,0,0.0148,8,0,0.015,2,0,0.0149,2,0,0.015,0,0
22575.0,26.0,0.0299,0,0,0.0149,8,0,0.0148,1,0,0.0148,8,0,0.015,2,0,0.0148,7,0,0.0149,0,0
22575.0,26.0,0.0299,0,0,0.0149,8,0,0.0148,1,0,0.0148,8,0,0.015,2,0,0.0148,7,0,0.0149,0,0
20720.0,25.0,0.0282,0,0,0.0149,7,0,0.0149,8,0,0.0148,8,0,0.015,2,0,0.0149,0,0,0.015,0,0
