lucro,staff,pr_Sun,hr_x_Sun,hr_j_Sun,pr_Mon,hr_x_Mon,hr_j_Mon,pr_Tue,hr_x_Tue,hr_j_Tue,pr_Wed,hr_x_Wed,hr_j_Wed,pr_Thu,hr_x_Thu,hr_j_Thu,pr_Fri,hr_x_Fri,hr_j_Fri,pr_Sat,hr_x_Sat,hr_j_Sat
25235.0,30.0,0.0007,0,0,0.0001,8,0,0.0006,2,0,0.0001,8,0,0.0006,4,0,0.0,8,0,0.0002,0,0
23590.0,29.0,0.0001,0,0,0.0001,8,0,0.0,5,0,0.0001,8,0,0.0006,6,0,0.0,2,0,0.0014,0,0
23590.0,29.0,0.0001,0,0,0.0001,8,0,0.0,5,0,0.0001,8,0,0.0006,6,0,0.0,2,0,0.0014,0,0
21910.0,28.0,0.0003,0,0,0.0,8,0,0.0001,8,0,0.0001,3,0,0.0053,1,0,0.0001,8,0,0.0003,0,0
21910.0,28.0,0.0003,0,0,0.0,8,0,0.0001,8,0,0.0001,3,0,0.0053,1,0,0.0001,8,0,0.0003,0,0
20265.0,27.0,0.0001,0,0,0.0,8,0,0.0,3,0,0.0001,8,0,0.0009,0,0,0.0001,8,0,0.0314,0,0
20265.0,27.0,0.0001,0,0,0.0001,8,0,0.0,3,0,0.0001,8,0,0.0009,0,0,0.0001,8,0,0.0312,0,0
18620.0,26.0,0.0071,0,0,0.0001,8,0,0.0,2,0,0.0001,8,0,0.0006,0,0,0.0,8,0,0.001,0,0
18620.0,26.0,0.0071,0,0,0.0001,8,0,0.0006,2,0,0.0001,8,0,0.0006,0,0,0.0,8,0,0.0001,0,0
16940.0,25.0,0.0075,0,0,0.0,8,0,0.0009,7,0,0.0004,2,0,0.0015,0,0,0.0001,8,0,0.0026,0,0
16940.0,25.0,0.0085,0,0,0.0001,8,0,0.0008,7,0,0.0001,2,0,0.0016,0,0,0.0,8,0,0.0006,0,0
15295.0,24.0,0.0072,0,0,0.0,8,0,0.0,5,0,0.0004,3,0,0.0015,0,0,0.0,8,0,0.0603,0,0
15295.0,24.0,0.0001,0,0,0.0,8,0,0.0,5,0,0.0004,3,0,0.0015,0,0,0.0,8,0,0.0603,0,0
13650.0,23.0,0.0075,0,0,0.0001,8,0,0.0,5,0,0.0001,2,0,0.0006,6,0,0.0,2,0,0.0014,0,0
13650.0,23.0,0.0001,0,0,0.0,8,0,0.0,5,0,0.0001,2,0,0.0012,0,0,0.0,8,0,0.0002,0,0
11970.0,22.0,0.0001,0,0,0.0,8,0,0.0006,3,0,0.0001,3,0,0.0009,0,0,0.0001,8,0,0.0312,0,0
11970.0,22.0,0.0072,0,0,0.0,8,0,0.0,3,0,0.0004,3,0,0.0015,0,0,0.0,8,0,0.0603,0,0
10325.0,21.0,0.0001,0,0,0.0,8,0,0.0006,3,0,0.0001,2,0,0.0005,0,0,0.0001,8,0,0.0312,0,0
10325.0,21.0,0.0003,0,0,0.0,2,0,0.0009,3,0,0.0001,8,0,0.0072,0,0,0.0,8,0,0.0005,0,0
8680.0,20.0,0.0003,0,0,0.0,8,0,0.0004,2,0,0.0001,2,0,0.0004,0,0,0.0,8,0,0.0003,0,0
8680.0,20.0,0.0001,0,0,0.0,8,0,0.0006,2,0,0.0001,2,0,0.0005,0,0,0.0001,8,0,0.0312,0,0
7000.0,19.0,0.0004,0,0,0.0001,0,0,0.0,3,0,0.0001,8,0,0.0008,0,0,0.0001,8,0,0.0013,0,0
7000.0,19.0,0.0004,0,0,0.0001,0,0,0.0008,3,0,0.0001,8,0,0.0008,0,0,0.0,8,0,0.0013,0,0
5355.0,18.0,0.0001,0,0,0.0001,8,0,0.0,5,0,0.0001,3,0,0.0074,0,0,0.0001,2,0,0.0006,0,0
5355.0,18.0,0.0004,0,0,0.0001,0,0,0.0,2,0,0.0001,8,0,0.0007,0,0,0.0001,8,0,0.0329,0,0
3710.0,17.0,0.0001,0,0,0.0,8,0,0.0,5,0,0.0001,2,0,0.0012,0,0,0.0,2,0,0.0002,0,0
3710.0,17.0,0.0001,0,0,0.0,8,0,0.0,5,0,0.0001,2,0,0.0012,0,0,0.0,2,0,0.0002,0,0
2030.0,16.0,0.0003,0,0,0.0,2,0,0.0009,3,0,0.0001,3,0,0.0072,0,0,0.0,8,0,0.0005,0,0
2030.0,16.0,0.0003,0,0,0.0,2,0,0.0009,3,0,0.0001,3,0,0.0072,0,0,0.0,8,0,0.0013,0,0
385.0,15.0,0.0003,0,0,0.0,2,0,0.0006,3,0,0.0001,2,0,0.0007,0,0,0.0001,8,0,0.0312,0,0
385.0,15.0,0.0001,0,0,0.0,2,0,0.0006,3,0,0.0001,2,0,0.0007,0,0,0.0001,8,0,0.0312,0,0
-1260.0,14.0,0.0004,0,0,0.0,2,0,0.0,8,0,0.0001,2,0,0.0012,0,0,0.0,2,0,0.001,0,0
-1260.0,14.0,0.0004,0,0,0.0,2,0,0.0,8,0,0.0001,2,0,0.0012,0,0,0.0,2,0,0.0006,0,0
-2940.0,13.0,0.0003,0,0,0.0,2,0,0.0006,2,0,0.0004,1,0,0.0056,0,0,0.0001,8,0,0.0003,0,0
-2940.0,13.0,0.0003,0,0,0.0,2,0,0.0006,2,0,0.0004,1,0,0.0056,0,0,0.0001,8,0,0.0003,0,0
-4585.0,12.0,0.0004,0,0,0.0,0,0,0.0,2,0,0.0001,8,0,0.0007,0,0,0.0001,2,0,0.0003,0,0
-4585.0,12.0,0.0004,0,0,0.0,0,0,0.0,2,0,0.0001,8,0,0.0007,0,0,0.0001,2,0,0.0009,0,0
-6230.0,11.0,0.0004,0,0,0.0,2,0,0.0,5,0,0.0001,2,0,0.0012,0,0,0.0,2,0,0.001,0,0
-6230.0,11.0,0.0004,0,0,0.0,2,0,0.0,5,0,0.0001,2,0,0.0012,0,0,0.0001,2,0,0.001,0,0
-7910.0,10.0,0.0003,0,0,0.0,2,0,0.0006,3,0,0.0001,3,0,0.0071,0,0,0.0001,2,0,0.0002,0,0
-7910.0,10.0,0.0003,0,0,0.0,2,0,0.0006,3,0,0.0001,3,0,0.0071,0,0,0.0001,2,0,0.0002,0,0
-9555.0,9.0,0.0072,0,0,0.0,0,0,0.0,5,0,0.0004,2,0,0.0005,0,0,0.0,2,0,0.0003,0,0
-9555.0,9.0,0.0003,0,0,0.0,2,0,0.0,3,0,0.0001,2,0,0.0055,0,0,0.0,2,0,0.001,0,0
-11200.0,8.0,0.007,0,0,0.0,2,0,0.0006,2,0,0.0001,2,0,0.0007,0,0,0.0001,2,0,0.0333,0,0
-11200.0,8.0,0.007,0,0,0.0,2,0,0.0006,2,0,0.0001,2,0,0.0007,0,0,0.0001,2,0,0.0333,0,0
-12880.0,7.0,0.0072,0,0,0.0,0,0,0.0,3,0,0.0004,2,0,0.0005,0,0,0.0,2,0,0.0003,0,0
-12880.0,7.0,0.0072,0,0,0.0,0,0,0.0008,3,0,0.0004,2,0,0.0005,0,0,0.0,2,0,0.0003,0,0
-14525.0,6.0,0.0004,0,0,0.0,0,0,0.0,2,0,0.0001,2,0,0.0007,0,0,0.0001,2,0,0.0004,0,0
-14525.0,6.0,0.0004,0,0,0.0,0,0,0.0,2,0,0.0001,2,0,0.0007,0,0,0.0,2,0,0.0003,0,0
-16205.0,5.0,0.0003,0,0,0.0,2,0,0.001,1,0,0.0001,0,0,0.0079,0,0,0.0001,2,0,0.001,0,0
-16205.0,5.0,0.0004,0,0,0.0001,0,0,0.0,2,0,0.0001,2,0,0.0008,0,0,0.0001,1,0,0.0333,0,0
-17885.0,4.0,0.0003,0,0,0.0,0,0,0.0006,2,0,0.0001,1,0,0.0074,0,0,0.0,1,0,0.0135,0,0
-17885.0,4.0,0.0003,0,0,0.0,0,0,0.0006,2,0,0.0001,1,0,0.0074,0,0,0.0001,1,0,0.0135,0,0
-19530.0,3.0,0.0003,0,0,0.0,0,0,0.001,1,0,0.0001,0,0,0.0078,0,0,0.0001,2,0,0.001,0,0
-19530.0,3.0,0.0003,0,0,0.0,0,0,0.001,1,0,0.0001,0,0,0.0078,0,0,0.0001,2,0,0.001,0,0
-21210.0,2.0,0.0068,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0005,0,0,0.0001,1,0,0.001,0,0
-21210.0,2.0,0.0068,0,0,0.0,0,0,0.0,1,0,0.0001,0,0,0.0005,0,0,0.0001,1,0,0.001,0,0
