Model,MAE,RMSE,MAPE,Experiment
Seasonal Naive,14572.263188405797,22179.585248565265,21.42256845824479,A_Temporal_Base
Linear Regression,10867.320311220816,15766.89141144498,15.583875527196673,A_Temporal_Base
Random Forest,10523.448194202898,15801.294301219172,15.172657944310053,A_Temporal_Base
Holt-Winters,9625.944641521639,14833.972240508865,13.845410763289639,A_Temporal_Base
Prophet,12202.48188289622,15343.92490840187,18.99252488212873,A_Temporal_Base
SARIMAX,11149.930201658293,15456.839402130883,16.878525190072445,A_Temporal_Base
Ensemble (Top-3 Experts),10492.799953283982,14564.158042122712,15.815597437046394,A_Temporal_Base
