day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0,0,0,0,230,230,0,True
1,Seg,0.1655,0,0,0,144,204,0,False
2,Ter,0.0,9,4,13,154,154,1455,False
3,Qua,0.151,4,1,5,168,231,640,False
4,Qui,0.0,0,3,3,154,154,288,False
5,Sex,0.0,3,10,13,211,211,1317,False
6,Sab,0.1195,0,0,0,298,387,0,True
