day,day_label,pr,hr_x,hr_j,total_staff,customers_forecast,customers_effective,units,is_weekend
0,Dom,0.0185,1,0,1,116,121,126,True
1,Seg,0.0327,0,6,6,72,78,576,False
2,Ter,0.0319,0,4,4,77,83,384,False
3,Qua,0.0963,3,0,3,84,104,399,False
4,Qui,0.0,0,0,0,77,77,0,False
5,Sex,0.2987,0,0,0,106,185,0,False
6,Sab,0.0,0,1,1,149,149,90,True
