iteration,score,profit,units
174,14423500.0,115500.0,18308
175,14423500.0,115500.0,18308
176,14374185.0,115815.0,18280
177,14372995.0,117005.0,18280
178,13958735.0,114765.0,18042
179,13751640.0,113610.0,17923
180,13751640.0,113610.0,17923
181,13751640.0,113610.0,17923
182,13532925.0,111825.0,17797
183,13532925.0,111825.0,17797
184,13532925.0,111825.0,17797
185,13532925.0,111825.0,17797
186,13532925.0,111825.0,17797
187,13532925.0,111825.0,17797
188,13532925.0,111825.0,17797
189,13532925.0,111825.0,17797
190,13532925.0,111825.0,17797
191,13220480.0,109270.0,17617
192,13220480.0,109270.0,17617
193,13220480.0,109270.0,17617
194,12886125.0,107625.0,17425
195,12886125.0,107625.0,17425
196,12667410.0,105840.0,17299
197,12667410.0,105840.0,17299
198,12642420.0,106330.0,17285
199,12641685.0,107065.0,17285
200,12641685.0,107065.0,17285
201,12641685.0,107065.0,17285
202,12398575.0,105175.0,17145
203,12397980.0,105770.0,17145
204,12385100.0,106400.0,17138
205,12385100.0,106400.0,17138
206,12383840.0,107660.0,17138
207,12383840.0,107660.0,17138
208,12383840.0,107660.0,17138
209,12383840.0,107660.0,17138
210,12383525.0,107975.0,17138
211,12383525.0,107975.0,17138
212,12383525.0,107975.0,17138
213,12383525.0,107975.0,17138
214,12383525.0,107975.0,17138
215,12140450.0,106050.0,16998
216,12140450.0,106050.0,16998
217,12140450.0,106050.0,16998
218,11604285.0,103215.0,16690
219,11604285.0,103215.0,16690
220,11421655.0,102095.0,16585
221,11369295.0,101955.0,16555
222,11369295.0,101955.0,16555
223,11369295.0,101955.0,16555
224,11369295.0,101955.0,16555
225,11073650.0,100100.0,16385
226,11073650.0,100100.0,16385
227,11073650.0,100100.0,16385
228,11073650.0,100100.0,16385
229,11073650.0,100100.0,16385
230,10866520.0,98980.0,16266
231,10866520.0,98980.0,16266
232,10865995.0,99505.0,16266
233,10469025.0,97475.0,16038
234,10456810.0,97440.0,16031
235,10456810.0,97440.0,16031
236,10348660.0,97090.0,15969
237,10348660.0,97090.0,15969
238,10348660.0,97090.0,15969
239,10348660.0,97090.0,15969
240,10348660.0,97090.0,15969
241,10348660.0,97090.0,15969
242,10142090.0,95410.0,15850
243,10142090.0,95410.0,15850
244,10084340.0,95410.0,15817
245,9596895.0,92855.0,15537
246,9596895.0,92855.0,15537
247,9221415.0,90335.0,15321
248,9221415.0,90335.0,15321
249,9221415.0,90335.0,15321
250,9221415.0,90335.0,15321
251,9014810.0,88690.0,15202
252,9014810.0,88690.0,15202
253,9014810.0,88690.0,15202
254,9014810.0,88690.0,15202
255,9014810.0,88690.0,15202
256,9014810.0,88690.0,15202
257,9014810.0,88690.0,15202
258,9014810.0,88690.0,15202
259,9014810.0,88690.0,15202
260,9014810.0,88690.0,15202
261,8638805.0,86695.0,14986
262,8638805.0,86695.0,14986
263,8638805.0,86695.0,14986
264,8225630.0,83370.0,14748
265,8225630.0,83370.0,14748
266,8225630.0,83370.0,14748
267,8225630.0,83370.0,14748
268,7812455.0,80045.0,14510
269,7812455.0,80045.0,14510
270,7624680.0,78820.0,14402
271,7624680.0,78820.0,14402
272,7624680.0,78820.0,14402
273,7624680.0,78820.0,14402
274,7587685.0,79065.0,14381
275,7587685.0,79065.0,14381
276,7587685.0,79065.0,14381
277,7587685.0,79065.0,14381
278,7587685.0,79065.0,14381
279,7490000.0,78750.0,14325
280,7490000.0,78750.0,14325
