Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,42.35507246376812,106.95681777972463,36.59295687913801,42.27236566138714,C_Context_Expert
Linear Regression,20.767962336442864,27.1509250125418,24.11437667790805,20.727408710704527,C_Context_Expert
Random Forest,13.661214492753624,20.1010765453286,15.841190676480768,13.634538222318652,C_Context_Expert
Holt-Winters,45.86128219291723,82.22513619824768,44.56060345929689,45.77172881046197,C_Context_Expert
Prophet,23.979108774755687,29.277170994656238,30.921156085897493,23.932284739396,C_Context_Expert
SARIMAX,20.964849322069018,26.45498950695578,25.678556246334207,20.923911234870356,C_Context_Expert
Ensemble (Top-3 Experts),14.984279302394167,18.875574161512304,17.346928744341074,14.955019481669163,C_Context_Expert
