Model,MAE,RMSE,MAPE,NMAE,Experiment
Seasonal Naive,52.71333333333334,132.29718584538634,36.82622214337059,42.40721287086578,A_Temporal_Base
Linear Regression,66.5584703213627,92.78153237317298,55.41630847783971,53.545451232020305,A_Temporal_Base
Random Forest,75.82437028985507,103.00135877459354,72.90371523963508,60.99975107527319,A_Temporal_Base
Holt-Winters,73.54904205452677,111.68421903353547,63.55750676716364,59.16927816215838,A_Temporal_Base
Prophet,67.10953760648682,92.40592067565733,58.234447769155864,53.988777923554935,A_Temporal_Base
SARIMAX,83.70577840885218,104.98808648238156,71.19637744003684,67.34024465990352,A_Temporal_Base
Ensemble (Top-3 Experts),52.15322976226911,80.32387226993202,41.815775143602686,41.95661660108231,A_Temporal_Base
