day,day_label,pr,hr_x,hr_j,total_staff,customers,is_weekend
0,Dom,0.198,2,7,9,64,True
1,Seg,0.2565,4,3,7,40,False
2,Ter,0.1543,3,3,6,42,False
3,Qua,0.2992,0,3,3,46,False
4,Qui,0.2209,3,3,6,42,False
5,Sex,0.1043,1,5,6,58,False
6,Sab,0.275,5,8,13,82,True
